account_number,sub_account_number,account_description,account_type,category_name,category_abbreviation
0,0,SUSPENSE ACCOUNT,A,FARM CHART,FARM
100,0,ASSETS,H,FARM CHART,FARM
101,0,CURRENT ASSETS,H,FARM CHART,FARM
102,0,BANK CASH,A,FARM CHART,FARM
102,10,CHECK CASHING CASH,A,FARM CHART,FARM
102,1,CASH ACCRUAL,A,FARM CHART,FARM
102,7,PETTY CASH,A,FARM CHART,FARM
108,0,SHORT TERM CONTRACTS and NT REC,A,FARM CHART,FARM
109,0,ST CONTRACTS REC - LEDGER,A,FARM CHART,FARM
111,0,ACCOUNTS RECEIVABLE,A,FARM CHART,FARM
111,100,A-R SALES NOT RECEIPTED,A,FARM CHART,FARM
112,0,ACCOUNTS RECEIVABLE,A,FARM CHART,FARM
115,0,INTEREST RECEIVABLE,A,FARM CHART,FARM
118,0,RESALE INVENTORY,A,FARM CHART,FARM
118,100,RESALE INV-STORE,A,FARM CHART,FARM
118,120,RESALE INV BEER,A,FARM CHART,FARM
118,200,RESALE INV - BEES,A,FARM CHART,FARM
118,400,RESALE INV-GAS,A,FARM CHART,FARM
118,500,RESALE INV-VALUE OF CROPS,A,FARM CHART,FARM
118,210,HONEY FOR SALE,A,FARM CHART,FARM
120,950,HORSE EQUIP FOR RESALE,A,FARM CHART,FARM
122,0,MATERIALS,A,FARM CHART,FARM
122,190,MATERIALS and EQUIP PROP UPKEEP,A,FARM CHART,FARM
122,535,MATERIALS and EQUP VEHICLE UPKEP,A,FARM CHART,FARM
122,625,MATERIALS and EQUP PIP and PLBG,A,FARM CHART,FARM
125,0,SUPPLIES,A,FARM CHART,FARM
125,200,SUPPLIES HAY and FEED,A,FARM CHART,FARM
125,400,SUPPLIES GAS and DIESEL,A,FARM CHART,FARM
125,571,SUPPLIES EQUIP MAINTENANCE,A,FARM CHART,FARM
125,625,SUPPLIES PIP and PLBG,A,FARM CHART,FARM
125,697,"SUPPLIES FERTILIZER, ETC",A,FARM CHART,FARM
125,699,SUPPLIES VETERINARY,A,FARM CHART,FARM
125,900,SUPPLIES FOR COWS,A,FARM CHART,FARM
125,210,BEE SUPPLIES,A,FARM CHART,FARM
126,0,PIGS and HOGS FARM,A,FARM CHART,FARM
127,0,BIRDS CHICKENS and TURKEYS,A,FARM CHART,FARM
127,10,OSTRICHES,A,FARM CHART,FARM
127,100,CHIDKEN PROCESSING EQUIP,A,FARM CHART,FARM
128,0,HAY and FEED INVENTORY,A,FARM CHART,FARM
129,0,"CALVES, COWS and BULLS",A,FARM CHART,FARM
129,10,BREED COWS,A,FARM CHART,FARM
129,12,CATTLE-SPECIAL COWS,A,FARM CHART,FARM
129,15,CATTLE-BREED HEIFERS,A,FARM CHART,FARM
129,150,ET EQUIPMENT and SUPPLIES,A,FARM CHART,FARM
129,20,FEEDER CALVES,A,FARM CHART,FARM
129,25,CULL COWS,A,FARM CHART,FARM
129,30,CATTLE-HERD BULLS,A,FARM CHART,FARM
129,40,SALE BULLS,A,FARM CHART,FARM
129,45,CATTLE,A,FARM CHART,FARM
129,50,BUFFALO COWS,A,FARM CHART,FARM
129,55,CATTLE-BUFFALO HEIFER CALVES,A,FARM CHART,FARM
129,60,BUFFALO BULL CALVES,A,FARM CHART,FARM
129,65,CATTLE-BUFFALO HERD BULLS,A,FARM CHART,FARM
129,70,BUFFALO HUNT BULLS,A,FARM CHART,FARM
129,75,BUFFALO CULLS,A,FARM CHART,FARM
129,80,CATTLE,A,FARM CHART,FARM
129,90,EMBRIOS,A,FARM CHART,FARM
129,95,MILK COWS,A,FARM CHART,FARM
129,100,CATTLE SEMEN,A,FARM CHART,FARM
129,210,"BEES, BOXES",A,FARM CHART,FARM
129,220,HONEY EXTRACTING EQUIPMENT,A,FARM CHART,FARM
130,0,HORSES,A,FARM CHART,FARM
131,0,SHEEP FARM,A,FARM CHART,FARM
132,0,GOATS,A,FARM CHART,FARM
136,0,PREPAID RENT,A,FARM CHART,FARM
138,0,PREPAID INSURANCE,A,FARM CHART,FARM
143,0,UNCLEARED CHECK ACCRUAL,A,FARM CHART,FARM
143,5,REGISTERS,A,FARM CHART,FARM
144,0,REGISTER BALANCE,A,FARM CHART,FARM
144,100,ISSUED VOUCHERS,A,FARM CHART,FARM
145,0,AR INC. TO DATE,A,FARM CHART,FARM
146,0,CASH IN BANK ACCOUNTS,A,FARM CHART,FARM
147,0,CASH IN TRUST ACCOUNTS,A,FARM CHART,FARM
148,0,OTHER CURRENT ASSETS,A,FARM CHART,FARM
149,0,TOTAL CURRENT ASSETS,T,FARM CHART,FARM
150,0,LONG TERM ASSETS,H,FARM CHART,FARM
151,0,LONG TERM CONTRACTS and NTS REC,A,FARM CHART,FARM
153,0,INTERNAL INVESTMENTS,A,FARM CHART,FARM
155,0,LONG TERM LOANS,A,FARM CHART,FARM
157,0,VEHICLES,A,FARM CHART,FARM
157,200,VEHICLES HAY and FEED,A,FARM CHART,FARM
157,400,VEHICLES TRAILERS,A,FARM CHART,FARM
157,450,VEHICLES-REFRIGERATED TRAILER,A,FARM CHART,FARM
157,500,VEHICLES ENCLOSED TRAILERS,A,FARM CHART,FARM
157,900,VEHICLES TRAILERS,A,FARM CHART,FARM
158,0,ACCUM DEPRECIATION VEHICLES,A,FARM CHART,FARM
159,0,PARTS,A,FARM CHART,FARM
160,0,ACCUM DEP PARTS,A,FARM CHART,FARM
160,600,EQUIP GROUND WORKING,A,FARM CHART,FARM
161,0,EQUIPMENT,A,FARM CHART,FARM
161,50,EQUIPMENT FEED TRUCK #1,A,FARM CHART,FARM
161,10,OSTRICH EQUIPMENT,A,FARM CHART,FARM
161,100,EQUIPMENT TOOLS,A,FARM CHART,FARM
161,130,EQUIPMENT,A,FARM CHART,FARM
161,170,EQUIP IMPROVEMENTS,A,FARM CHART,FARM
161,190,EQUIP PROPERTY UPKEEP,A,FARM CHART,FARM
161,200,EQUIP HAY and FEED,A,FARM CHART,FARM
161,210,FEED MILL EQUIPMENT,A,FARM CHART,FARM
161,220,EQUIP HAY FEEDING,A,FARM CHART,FARM
161,300,EQUIP HOG HANDLING,A,FARM CHART,FARM
161,400,EQUIP FUEL,A,FARM CHART,FARM
161,500,EQUIPMENT IMPLEMENTS ETC,A,FARM CHART,FARM
161,535,EQUIP VEHICLES,A,FARM CHART,FARM
161,550,EQUIPMENT MACHINERY SUPPLIES,A,FARM CHART,FARM
161,600,EQUIP-GROUND WORKING,A,FARM CHART,FARM
161,697,EQUIP FERTILIZER,A,FARM CHART,FARM
161,700,EQUIP IRRIGATION,A,FARM CHART,FARM
161,750,EQUIP SPRINKLING SYSTEM,A,FARM CHART,FARM
161,800,EQUIP LIVESTOCK,A,FARM CHART,FARM
161,810,EQUIPMENT MTN WATER SYSTEM,A,FARM CHART,FARM
161,850,EQUIPMENT POWER SYSTEM,A,FARM CHART,FARM
161,900,EQUIP COWS,A,FARM CHART,FARM
161,950,EQUIP HORSE,A,FARM CHART,FARM
161,100,CATTLE EQUIPMENT,A,FARM CHART,FARM
161,200,FARM EQUIPMENT,A,FARM CHART,FARM
161,300,EQUIP MEAT PROCESSING,A,FARM CHART,FARM
162,0,ACCUM DEPRECIATION EQUIPMENT,A,FARM CHART,FARM
163,0,COMPUTER HARDWARE,A,FARM CHART,FARM
164,0,ACCUM DEPR COMPUTER HARDWARE,A,FARM CHART,FARM
165,0,COMPUTER SOFTWARE,A,FARM CHART,FARM
166,0,ACCUM DEPR COMPUTER SOFTWARE,A,FARM CHART,FARM
167,0,FURNITURE and FIXTURES,A,FARM CHART,FARM
168,0,ACCUM DEPR FURNITURE and FIXTURE,A,FARM CHART,FARM
170,0,IMPROVEMENTS,A,FARM CHART,FARM
