account_number,sub_account_number,account_description,account_type,category_name,category_abbreviation
0,,SUSPENSE ACCOUNT,A,FAST FOOD,FFOOD
100,,ASSETS,H,FAST FOOD,FFOOD
101,,CURRENT ASSETS,H,FAST FOOD,FFOOD
102,,CASH,A,FAST FOOD,FFOOD
102,1,CASH ACCRUAL,A,FAST FOOD,FFOOD
102,30,CHANGE FUND,A,FAST FOOD,FFOOD
102,7,PETTY CASH,A,FAST FOOD,FFOOD
102,70,CASH IN ATM,A,FAST FOOD,FFOOD
109,,ST CONTRACTS REC - LEDGER,A,FAST FOOD,FFOOD
111,,ACCOUNTS RECEIVABLE,A,FAST FOOD,FFOOD
112,,ACCOUNTS RECEIVABLE,A,FAST FOOD,FFOOD
113,,ALLOWANCE FOR DOUBTFUL AR,A,FAST FOOD,FFOOD
115,,INTEREST RECEIVABLE,A,FAST FOOD,FFOOD
118,,RESALE INVENTORY,A,FAST FOOD,FFOOD
125,,SUPPLIES,A,FAST FOOD,FFOOD
125,10,PRIZES,A,FAST FOOD,FFOOD
136,,PREPAID RENT,A,FAST FOOD,FFOOD
143,,UNCLEARED CHECK ACCRUAL,A,FAST FOOD,FFOOD
144,,REGISTER BALANCE,A,FAST FOOD,FFOOD
144,100,ISSUED VOUCHERS,A,FAST FOOD,FFOOD
145,,AR INC. TO DATE,A,FAST FOOD,FFOOD
146,,CASH IN BANK ACCOUNTS,A,FAST FOOD,FFOOD
147,,CASH IN TRUST ACCOUNTS,A,FAST FOOD,FFOOD
148,,OTHER CURRENT ASSETS,A,FAST FOOD,FFOOD
148,100,REFUNDABLE DEPOSITS,A,FAST FOOD,FFOOD
149,,TOTAL CURRENT ASSETS,T,FAST FOOD,FFOOD
150,,LONG TERM ASSETS,H,FAST FOOD,FFOOD
151,,LONG TERM CONTRACTS & NTS REC,A,FAST FOOD,FFOOD
153,,INTERNAL INVESTMENTS,A,FAST FOOD,FFOOD
154,,OTHER LONG TERM INVESTMENTS,A,FAST FOOD,FFOOD
155,,LONG TERM LOANS,A,FAST FOOD,FFOOD
161,,EQUIPMENT,A,FAST FOOD,FFOOD
162,,ACCUM DEPRECIATION EQUIPMENT,A,FAST FOOD,FFOOD
163,,COMPUTER HARDWARE,A,FAST FOOD,FFOOD
164,,ACCUM DEPR COMPUTER HARDWARE,A,FAST FOOD,FFOOD
165,,COMPUTER SOFTWARE,A,FAST FOOD,FFOOD
166,,ACCUM DEPR COMPUTER SOFTWARE,A,FAST FOOD,FFOOD
