account_number,sub_account_number,account_description,account_type,category_name,category_abbreviation
0,,SUSPENSE ACCOUNT,A,FINANCE CHART,FINAN
100,,ASSETS,H,FINANCE CHART,FINAN
101,,CURRENT ASSETS,H,FINANCE CHART,FINAN
102,,BANK CASH,A,FINANCE CHART,FINAN
102,4418,BANK CASH PRUDENTIAL #2,A,FINANCE CHART,FINAN
102,5218,BANK CASH PRUDENTIAL #1,A,FINANCE CHART,FINAN
103,,MARKETABLE SECURITIES,A,FINANCE CHART,FINAN
103,4418,MRKT SEC PRUDENTIAL #2,A,FINANCE CHART,FINAN
103,5218,MRKT SEC PRUDENTIAL #1,A,FINANCE CHART,FINAN
108,,SHORT TERM CONTRACTS & NT REC,A,FINANCE CHART,FINAN
109,,ST CONTRACTS REC - LEDGER,A,FINANCE CHART,FINAN
111,,ACCOUNTS RECEIVABLE,A,FINANCE CHART,FINAN
112,,ACCOUNTS RECEIVABLE,A,FINANCE CHART,FINAN
112,1,ACCTS REC SLC,A,FINANCE CHART,FINAN
112,2,ACCTS REC DEN,A,FINANCE CHART,FINAN
112,3,ACCTS REC PHX,A,FINANCE CHART,FINAN
112,4,ACCTS REC ALB,A,FINANCE CHART,FINAN
112,5,ACCTS REC LAS,A,FINANCE CHART,FINAN
112,6,ACCTS REC SEA,A,FINANCE CHART,FINAN
112,7,ACCTS REC POR,A,FINANCE CHART,FINAN
113,,ALLOWANCE FOR DOUBTFUL A/R,A,FINANCE CHART,FINAN
115,,INTEREST RECEIVABLE,A,FINANCE CHART,FINAN
118,,RESALE INVENTORY,A,FINANCE CHART,FINAN
122,,MATERIALS,A,FINANCE CHART,FINAN
136,,PREPAID RENT,A,FINANCE CHART,FINAN
142,,OTHER PREPAID ASSETS,A,FINANCE CHART,FINAN
143,,UNCLEARED CHECK ACCRUAL,A,FINANCE CHART,FINAN
144,,REGISTER BALANCE,A,FINANCE CHART,FINAN
144,100,ISSUED VOUCHERS,A,FINANCE CHART,FINAN
145,,AR INC. TO DATE,A,FINANCE CHART,FINAN
146,,CASH IN BANK ACCOUNTS,A,FINANCE CHART,FINAN
147,,CASH IN TRUST ACCOUNTS,A,FINANCE CHART,FINAN
148,,OTHER CURRENT ASSETS,A,FINANCE CHART,FINAN
149,,TOTAL CURRENT ASSETS,T,FINANCE CHART,FINAN
150,,LONG TERM ASSETS,H,FINANCE CHART,FINAN
151,,LONG TERM CONTRACTS & NTS REC,A,FINANCE CHART,FINAN
153,,INTERNAL INVESTMENTS,A,FINANCE CHART,FINAN
154,,OTHER LONG TERM INVESTMENTS,A,FINANCE CHART,FINAN
155,,LONG TERM LOANS,A,FINANCE CHART,FINAN
157,,VEHICLES,A,FINANCE CHART,FINAN
158,,ACCUM DEPRECIATION VEHICLES,A,FINANCE CHART,FINAN
161,,EQUIPMENT,A,FINANCE CHART,FINAN
162,,ACCUM DEPRECIATION EQUIPMENT,A,FINANCE CHART,FINAN
163,,COMPUTER HARDWARE,A,FINANCE CHART,FINAN
164,,ACCUM DEPR COMPUTER HARDWARE,A,FINANCE CHART,FINAN
165,,COMPUTER SOFTWARE,A,FINANCE CHART,FINAN
166,,ACCUM DEPR COMPUTER SOFTWARE,A,FINANCE CHART,FINAN
167,,FURNITURE & FIXTURES,A,FINANCE CHART,FINAN
168,,ACCUM DEPR FURNITURE & FIXTURE,A,FINANCE CHART,FINAN
170,,IMPROVEMENTS,A,FINANCE CHART,FINAN
171,,ACCUM DEP IMPROVEMENTS,A,FINANCE CHART,FINAN
174,,BUILDINGS,A,FINANCE CHART,FINAN
175,,ACCUM DEPRECIATION BUILDINGS,A,FINANCE CHART,FINAN
190,,LAND,A,FINANCE CHART,FINAN
193,,OTHER LONG TERM ASSETS,A,FINANCE CHART,FINAN
194,,UNITS REC S.C.,A,FINANCE CHART,FINAN
195,,UNITS USING,A,FINANCE CHART,FINAN
198,,TOTAL LONG TERM ASSETS,T,FINANCE CHART,FINAN
199,,TOTAL ASSETS,T,FINANCE CHART,FINAN
200,,LIABILITIES & OWNERS EQUITY,H,FINANCE CHART,FINAN
201,,LIABILITIES,H,FINANCE CHART,FINAN
202,,CURRENT LIABILITIES,H,FINANCE CHART,FINAN
203,,ACCOUNTS PAYABLE,A,FINANCE CHART,FINAN
204,,ACCOUNTS PAYABLE-COMPUTER,A,FINANCE CHART,FINAN
205,,ACCTS PAY-A/P COMPUTER ACCRUAL,A,FINANCE CHART,FINAN
206,,SHORT TERM CONTRACTS & NT PAY,A,FINANCE CHART,FINAN
207,,ST CONTRACTS PAY - LEDGER,A,FINANCE CHART,FINAN
210,,INTEREST PAYABLE,A,FINANCE CHART,FINAN
215,,ACCRUED PAYROLL,A,FINANCE CHART,FINAN
217,,ACCRUED TAXES-FICA,A,FINANCE CHART,FINAN
218,,ACCRUED TAXES-FED,A,FINANCE CHART,FINAN
219,,ACCRUED TAXES-STATE,A,FINANCE CHART,FINAN
220,,ACCRUED TAXES-FUTA & SUTA,A,FINANCE CHART,FINAN
221,,ACCRUED TAXES-WORKMANS COMP,A,FINANCE CHART,FINAN
222,,ACCRUED PROPERTY TAXES,A,FINANCE CHART,FINAN
246,,UNEARNED REVENUE,A,FINANCE CHART,FINAN
248,,OTHER CURRENT LIABILITIES,A,FINANCE CHART,FINAN
249,,TOTAL CURRENT LIABILITIES,T,FINANCE CHART,FINAN
250,,LONG TERM LIABILITIES,H,FINANCE CHART,FINAN
270,,LONG TERM CONTRACTS & NT PAY,A,FINANCE CHART,FINAN
275,,LONG TERM LOANS,A,FINANCE CHART,FINAN
285,,UNITS PAY S.C.,A,FINANCE CHART,FINAN
290,,TOTAL LONG TERM LIABILITIES,T,FINANCE CHART,FINAN
299,,TOTAL LIABILITIES,T,FINANCE CHART,FINAN
300,,STOCKHOLDERS EQUITY,H,FINANCE CHART,FINAN
301,,CAPITAL STOCK,A,FINANCE CHART,FINAN
320,,PAID IN CAP. IN EXCESS OF PAR,A,FINANCE CHART,FINAN
335,,DEBTS NOT COVERED,A,FINANCE CHART,FINAN
340,,BEGINNING RETAINED EARNINGS,A,FINANCE CHART,FINAN
350,,RETAINED EARNINGS,A,FINANCE CHART,FINAN
398,,TOTAL OWNERS EQUITY,T,FINANCE CHART,FINAN
399,,TOT. LIAB. & OWNERSS EQUITY,T,FINANCE CHART,FINAN
400,,INCOME STATEMENT,H,FINANCE CHART,FINAN
402,,REVENUE,H,FINANCE CHART,FINAN
404,,**,H,FINANCE CHART,FINAN
405,,SALES,H,FINANCE CHART,FINAN
405,10,MATERIALS,A,FINANCE CHART,FINAN
405,20,SALES-MILEAGE,A,FINANCE CHART,FINAN
405,230,SALES-SUBTRACTORS,A,FINANCE CHART,FINAN
405,500,SALES-LABOR,A,FINANCE CHART,FINAN
421,,WAGE MDSE REVENUE,A,FINANCE CHART,FINAN
422,,RETURNS & ALLOWANCES,A,FINANCE CHART,FINAN
425,,DISCOUNTS,A,FINANCE CHART,FINAN
430,,NET SALES,T,FINANCE CHART,FINAN
432,,COST OF GOODS SOLD,H,FINANCE CHART,FINAN
439,,TOTAL COST OF GOODS SOLD,T,FINANCE CHART,FINAN
440,,GROSS MARGIN,T,FINANCE CHART,FINAN
445,,OTHER REVENUE,H,FINANCE CHART,FINAN
470,,RENTAL INCOME,A,FINANCE CHART,FINAN
480,,SERVICE INCOME,A,FINANCE CHART,FINAN
482,,GAIN ON SALE OF AN ASSET,A,FINANCE CHART,FINAN
