account_number,sub_account_number,account_description,account_type,category_name,category_abbreviation
0,,SUSPENSE ACCOUNT,A,INSURANCE CHART,INS
100,,ASSETS,H,INSURANCE CHART,INS
101,,CURRENT ASSETS,H,INSURANCE CHART,INS
102,,BANK CASH,A,INSURANCE CHART,INS
108,,SHORT TERM CONTRACTS & NT REC,A,INSURANCE CHART,INS
109,,ST CONTRACTS REC - LEDGER,A,INSURANCE CHART,INS
111,,ACCOUNTS RECEIVABLE,A,INSURANCE CHART,INS
112,,ACCOUNTS RECEIVABLE,A,INSURANCE CHART,INS
115,,INTEREST RECEIVABLE,A,INSURANCE CHART,INS
125,,SUPPLIES,A,INSURANCE CHART,INS
136,,PREPAID RENT,A,INSURANCE CHART,INS
138,,PREPAID INSURANCE,A,INSURANCE CHART,INS
143,,UNCLEARED CHECK ACCRUAL,A,INSURANCE CHART,INS
144,,REGISTER BALANCE,A,INSURANCE CHART,INS
144,100,ISSUED VOUCHERS,A,INSURANCE CHART,INS
145,,AR INC. TO DATE,A,INSURANCE CHART,INS
146,,CASH IN BANK ACCOUNTS,A,INSURANCE CHART,INS
147,,CASH IN TRUST ACCOUNTS,A,INSURANCE CHART,INS
149,,TOTAL CURRENT ASSETS,T,INSURANCE CHART,INS
150,,LONG TERM ASSETS,H,INSURANCE CHART,INS
151,,LONG TERM CONTRACTS & NTS REC,A,INSURANCE CHART,INS
153,,INTERNAL INVESTMENTS,A,INSURANCE CHART,INS
155,,LONG TERM LOANS,A,INSURANCE CHART,INS
161,,EQUIPMENT,A,INSURANCE CHART,INS
162,,ACCUM DEPRECIATION EQUIPMENT,A,INSURANCE CHART,INS
163,,COMPUTER HARDWARE,A,INSURANCE CHART,INS
164,,ACCUM DEPR COMPUTER HARDWARE,A,INSURANCE CHART,INS
165,,COMPUTER SOFTWARE,A,INSURANCE CHART,INS
166,,ACCUM DEPR COMPUTER SOFTWARE,A,INSURANCE CHART,INS
167,,FURNITURE & FIXTURES,A,INSURANCE CHART,INS
168,,ACCUM DEPR FURNITURE & FIXTURE,A,INSURANCE CHART,INS
170,,IMPROVEMENTS,A,INSURANCE CHART,INS
171,,ACCUM DEP IMPROVEMENTS,A,INSURANCE CHART,INS
194,,UNITS REC S.C.,A,INSURANCE CHART,INS
195,,UNITS USING,A,INSURANCE CHART,INS
198,,TOTAL LONG TERM ASSETS,T,INSURANCE CHART,INS
199,,TOTAL ASSETS,T,INSURANCE CHART,INS
200,,LIABILITIES & OWNERS EQUITY,H,INSURANCE CHART,INS
201,,LIABILITIES,H,INSURANCE CHART,INS
202,,CURRENT LIABILITIES,H,INSURANCE CHART,INS
203,,ACCOUNTS PAYABLE,A,INSURANCE CHART,INS
204,,ACCOUNTS PAYABLE-COMPUTER,A,INSURANCE CHART,INS
205,,ACCTS PAY-A/P COMPUTER ACCRUAL,A,INSURANCE CHART,INS
207,,ST CONTRACTS PAY - LEDGER,A,INSURANCE CHART,INS
215,,ACCRUED PAYROLL,A,INSURANCE CHART,INS
217,,ACCRUED TAXES-FICA,A,INSURANCE CHART,INS
218,,ACCRUED TAXES-FED,A,INSURANCE CHART,INS
219,,ACCRUED TAXES-STATE,A,INSURANCE CHART,INS
220,,ACCRUED TAXES-FUTA & SUTA,A,INSURANCE CHART,INS
246,,UNEARNED REVENUE,A,INSURANCE CHART,INS
246,9,TRUST ACCOUNT FUND,A,INSURANCE CHART,INS
248,,OTHER CURRENT LIABILITIES,A,INSURANCE CHART,INS
249,,TOTAL CURRENT LIABILITIES,T,INSURANCE CHART,INS
250,,LONG TERM LIABILITIES,H,INSURANCE CHART,INS
275,,LONG TERM LOANS,A,INSURANCE CHART,INS
276,,OTHER LONG TERM NOTES PAYABLE,A,INSURANCE CHART,INS
285,,UNITS PAY S.C.,A,INSURANCE CHART,INS
290,,TOTAL LONG TERM LIABILITIES,T,INSURANCE CHART,INS
299,,TOTAL LIABILITIES,T,INSURANCE CHART,INS
300,,STOCKHOLDERS EQUITY,H,INSURANCE CHART,INS
301,,CAPITAL STOCK,A,INSURANCE CHART,INS
320,,PAID IN CAP. IN EXCESS OF PAR,A,INSURANCE CHART,INS
335,,DEBTS NOT COVERED,A,INSURANCE CHART,INS
340,,BEGINNING RETAINED EARNINGS,A,INSURANCE CHART,INS
350,,RETAINED EARNINGS,A,INSURANCE CHART,INS
398,,TOTAL OWNERS EQUITY,T,INSURANCE CHART,INS
399,,TOT. LIAB. & OWNERSS EQUITY,T,INSURANCE CHART,INS
400,,INCOME STATEMENT,H,INSURANCE CHART,INS
402,,REVENUE,H,INSURANCE CHART,INS
404,,**,H,INSURANCE CHART,INS
405,,SALES,H,INSURANCE CHART,INS
421,,WAGE MDSE REVENUE,A,INSURANCE CHART,INS
425,,DISCOUNTS,A,INSURANCE CHART,INS
430,,NET SALES,T,INSURANCE CHART,INS
432,,COST OF GOODS SOLD,H,INSURANCE CHART,INS
439,,TOTAL COST OF GOODS SOLD,T,INSURANCE CHART,INS
440,,GROSS MARGIN,T,INSURANCE CHART,INS
445,,OTHER REVENUE,H,INSURANCE CHART,INS
470,,RENTAL INCOME,A,INSURANCE CHART,INS
480,,SERVICE INCOME,A,INSURANCE CHART,INS
480,100,EXISTING PLAN 250 DED,A,INSURANCE CHART,INS
480,110,EXISTING 250 DED CLAIMS PAID,A,INSURANCE CHART,INS
480,200,EXISTING PLAN 500 DED,A,INSURANCE CHART,INS
480,210,EXISTING 500 DED CLAIMS PAID,A,INSURANCE CHART,INS
480,300,NEW PLAN 250 DED,A,INSURANCE CHART,INS
480,310,NEW PLAN 250 DED CLAIMS PAID,A,INSURANCE CHART,INS
480,400,NEW PLAN 500 DED,A,INSURANCE CHART,INS
480,410,NEW PLAN 500 DED CLAIMS PAID,A,INSURANCE CHART,INS
486,,COMMISSION INCOME,A,INSURANCE CHART,INS
487,,INTEREST INCOME,A,INSURANCE CHART,INS
488,,LOAN INTEREST INCOME,A,INSURANCE CHART,INS
489,,LOAN FEE INCOME,A,INSURANCE CHART,INS
490,,LOAN PENALTY INCOME,A,INSURANCE CHART,INS
491,,OTHER INCOME,A,INSURANCE CHART,INS
492,,NOT CODED OTHER REVENUE,A,INSURANCE CHART,INS
493,,SCR LT,A,INSURANCE CHART,INS
494,,SCR ST,A,INSURANCE CHART,INS
495,,SCR INV,A,INSURANCE CHART,INS
496,,RECEIPTS REVENUE,A,INSURANCE CHART,INS
498,,TOTAL OTHER REVENUE,T,INSURANCE CHART,INS
499,,REVENUE LESS COGS,T,INSURANCE CHART,INS
500,,EXPENSES,H,INSURANCE CHART,INS
502,,OPERATING EXPENSES,H,INSURANCE CHART,INS
504,,CHARGED OFF ACTS,A,INSURANCE CHART,INS
505,,BAD CHECKS,A,INSURANCE CHART,INS
506,,WAGES,A,INSURANCE CHART,INS
507,,WAGE MDSE EXPENSE,A,INSURANCE CHART,INS
515,,COMMISSIONS,A,INSURANCE CHART,INS
517,,CONTRACT LABOR,A,INSURANCE CHART,INS
518,,FUTA TAX EXPENSE,A,INSURANCE CHART,INS
519,,SUTA TAX EXPENSE,A,INSURANCE CHART,INS
520,,FICA TAX EXPENSE,A,INSURANCE CHART,INS
521,,WORKMAN COMP INSURANCES,A,INSURANCE CHART,INS
525,,HEALTH INSURANCE,A,INSURANCE CHART,INS
530,,TRAVEL EXPENSES,A,INSURANCE CHART,INS
535,,REPAIRS & MAINT-VEHICLES,A,INSURANCE CHART,INS
545,,ADVERTISING & PROMOTIONS,A,INSURANCE CHART,INS
550,,AP DISCOUNTS LOST,A,INSURANCE CHART,INS
560,,OTHER OPERATING EXP,A,INSURANCE CHART,INS
561,,TOTAL OPERATING EXP,T,INSURANCE CHART,INS
563,,GENERAL & ADMINISTRATIVE EXP,H,INSURANCE CHART,INS
564,,RENT-VEHICLES,H,INSURANCE CHART,INS
565,,RENT-BUILDING,A,INSURANCE CHART,INS
570,,REPAIRS & MAINT-BUILDING,A,INSURANCE CHART,INS
570,100,CLEANING EXPENSE,A,INSURANCE CHART,INS
571,,REPAIR & MAINTENANCE EQUIPMENT,A,INSURANCE CHART,INS
580,,UTILITIES-FUEL,A,INSURANCE CHART,INS
581,,UTILITIES-ELECTRIC,A,INSURANCE CHART,INS
582,,UTILITIES-WATER & SEWER,A,INSURANCE CHART,INS
583,,UTILITIES-GARBAGE,A,INSURANCE CHART,INS
584,,UTILITIES-PHONE,A,INSURANCE CHART,INS
585,,UTILITIES-MISC,A,INSURANCE CHART,INS
605,,DEPRECIATION EXP-EQUIPMENT,A,INSURANCE CHART,INS
607,,DEPRECIATION EXP-F & F,A,INSURANCE CHART,INS
609,,DEPRECIATION EXP-IMPROVEMENTS,A,INSURANCE CHART,INS
615,,CASUALTY/PROPERTY INSURANCE,A,INSURANCE CHART,INS
620,,VEHICLE INSURANCE,A,INSURANCE CHART,INS
621,,INSURANCE,A,INSURANCE CHART,INS
626,,"TOTAL PREMISE, EQUIP & VEH EXP",T,INSURANCE CHART,INS
629,,ACCOUNTING FEES,A,INSURANCE CHART,INS
630,,PROFESSIONAL FEES,A,INSURANCE CHART,INS
631,,LEGAL FEES,A,INSURANCE CHART,INS
635,,OFFICE SUPPLIES EXPENSE,A,INSURANCE CHART,INS
638,,SUPPLIES,A,INSURANCE CHART,INS
640,,POSTAGE EXPENSE,A,INSURANCE CHART,INS
650,,PERMITS & LICENSES,A,INSURANCE CHART,INS
655,,SUBSCRIPTIONS & MEMBERSHIPS,A,INSURANCE CHART,INS
675,,BANK CHARGES,A,INSURANCE CHART,INS
690,,INCOME TAX PROVISION EXP,A,INSURANCE CHART,INS
700,,GROCERY EXPENSE,A,INSURANCE CHART,INS
700,2,GROCERY EXP HEALTH FOOD,A,INSURANCE CHART,INS
707,,EDUCA.& TRAINING EXPENSE,A,INSURANCE CHART,INS
709,5,ENTERTAINMENT - OUT TO EAT,A,INSURANCE CHART,INS
710,,GIFT EXPENSE,A,INSURANCE CHART,INS
715,,CHARGE CARD EXPENSE,A,INSURANCE CHART,INS
720,,MEDICAL EXP,A,INSURANCE CHART,INS
720,100,EXISTING PLAN 250 DED,A,INSURANCE CHART,INS
720,200,EXISTING PLAN 500 DED,A,INSURANCE CHART,INS
720,300,NEW PLAN 250 DED,A,INSURANCE CHART,INS
720,400,NEW PLAN 500 DED,A,INSURANCE CHART,INS
723,,EYE CARE EXPENSE,A,INSURANCE CHART,INS
725,,DENTAL EXP,A,INSURANCE CHART,INS
740,,INTEREST EXPENSE,A,INSURANCE CHART,INS
741,,LOAN INTEREST EXPENSE,A,INSURANCE CHART,INS
742,,LOAN FEE EXPENSE,A,INSURANCE CHART,INS
743,,LOAN PENALTY EXPENSE,A,INSURANCE CHART,INS
785,,OTHER EXPENSES,A,INSURANCE CHART,INS
788,,NOT CODED OTHER EXPENSE,A,INSURANCE CHART,INS
789,,SCP LT,A,INSURANCE CHART,INS
790,,SCP ST,A,INSURANCE CHART,INS
791,,SCP INV,A,INSURANCE CHART,INS
792,,CHECK EXP,A,INSURANCE CHART,INS
796,,TOTAL G & A EXPENSES,T,INSURANCE CHART,INS
797,,TOTAL OPERATING & G&A EXP,T,INSURANCE CHART,INS
799,,NET INCOME/LOSS-,T,INSURANCE CHART,INS
