account_number,sub_account_number,account_description,account_type,category_name,category_abbreviation
0,,SUSPENSE ACCOUNT,A,JOHN DANIEL KINGSTON,JDK
100,,ASSETS,H,JOHN DANIEL KINGSTON,JDK
101,,CURRENT ASSETS,H,JOHN DANIEL KINGSTON,JDK
102,,CASH,A,JOHN DANIEL KINGSTON,JDK
102,10,CHECK CASHING CASH,A,JOHN DANIEL KINGSTON,JDK
102,1,CASH ACCRUAL,A,JOHN DANIEL KINGSTON,JDK
102,7,PETTY CASH,A,JOHN DANIEL KINGSTON,JDK
108,,SHORT TERM CONTRACTS & NT REC,A,JOHN DANIEL KINGSTON,JDK
109,,ST CONTRACTS REC - LEDGER,A,JOHN DANIEL KINGSTON,JDK
111,,ACCOUNTS RECEIVABLE,A,JOHN DANIEL KINGSTON,JDK
111,100,A/R SALES NOT RECEIPTED,A,JOHN DANIEL KINGSTON,JDK
112,,ACCOUNTS RECEIVABLE,A,JOHN DANIEL KINGSTON,JDK
113,,ALLOWANCE FOR DOUBTFUL A/R,A,JOHN DANIEL KINGSTON,JDK
113,1000,ALLOWANCE FOR DOUBTFUL INT,A,JOHN DANIEL KINGSTON,JDK
115,,INTEREST RECEIVABLE,A,JOHN DANIEL KINGSTON,JDK
118,,RESALE INVENTORY,A,JOHN DANIEL KINGSTON,JDK
118,100,RESALE INV-STORE,A,JOHN DANIEL KINGSTON,JDK
118,120,RESALE INV-BEER,A,JOHN DANIEL KINGSTON,JDK
118,200,RESALE INV - BEES,A,JOHN DANIEL KINGSTON,JDK
118,400,RESALE INV-GAS,A,JOHN DANIEL KINGSTON,JDK
118,500,RESALE INV-VALUE OF CROPS,A,JOHN DANIEL KINGSTON,JDK
119,,RESALE PARTS,A,JOHN DANIEL KINGSTON,JDK
120,,RESALE EQUIPMENT,A,JOHN DANIEL KINGSTON,JDK
122,,MATERIALS,A,JOHN DANIEL KINGSTON,JDK
122,190,MATERIALS & EQUIP PROP UPKEEP,A,JOHN DANIEL KINGSTON,JDK
125,,SUPPLIES,A,JOHN DANIEL KINGSTON,JDK
125,10,STEEL,A,JOHN DANIEL KINGSTON,JDK
125,20,DUMPSTERS,A,JOHN DANIEL KINGSTON,JDK
125,30,TRUCK SUPPLIES,A,JOHN DANIEL KINGSTON,JDK
125,35,PURCHASED ROLLER PARTS,A,JOHN DANIEL KINGSTON,JDK
125,40,FABRICATED ROLLER PARTS,A,JOHN DANIEL KINGSTON,JDK
125,50,LONGWALL SHIELDS,A,JOHN DANIEL KINGSTON,JDK
125,200,SUPPLIES - HAY & FEED,A,JOHN DANIEL KINGSTON,JDK
125,400,SUPPLIES GAS & DIESEL,A,JOHN DANIEL KINGSTON,JDK
125,571,SUPPLIES EQUIP MAINT,A,JOHN DANIEL KINGSTON,JDK
125,699,SUPPLIES VETERINARY,A,JOHN DANIEL KINGSTON,JDK
125,900,SUPPLIES FOR COWS,A,JOHN DANIEL KINGSTON,JDK
126,,PIGS & HOGS FARM,A,JOHN DANIEL KINGSTON,JDK
127,,BIRDS CHICKENS & TURKEYS,A,JOHN DANIEL KINGSTON,JDK
127,10,OSTRICHES,A,JOHN DANIEL KINGSTON,JDK
127,100,CHICKEN PROCESSING EQUIP,A,JOHN DANIEL KINGSTON,JDK
128,,HAY & FEED INVENTORY,A,JOHN DANIEL KINGSTON,JDK
129,,"CALVES, COWS & BULLS",A,JOHN DANIEL KINGSTON,JDK
129,10,BREED COWS,A,JOHN DANIEL KINGSTON,JDK
129,12,CATTLE-SPECIAL COW,A,JOHN DANIEL KINGSTON,JDK
129,15,CATTLE-BREED HEIFERS,A,JOHN DANIEL KINGSTON,JDK
129,150,ET EQUIP & SUPPLIES,A,JOHN DANIEL KINGSTON,JDK
129,20,FEEDER CALVES,A,JOHN DANIEL KINGSTON,JDK
129,25,CULL COWS,A,JOHN DANIEL KINGSTON,JDK
129,30,CATTLE-HERD BULLS,A,JOHN DANIEL KINGSTON,JDK
129,40,SALE BULLS,A,JOHN DANIEL KINGSTON,JDK
129,45,CATTLE,A,JOHN DANIEL KINGSTON,JDK
129,50,BUFFALO BOWS,A,JOHN DANIEL KINGSTON,JDK
129,55,CATTLE-BURRALO HEIFER CALVES,A,JOHN DANIEL KINGSTON,JDK
129,60,BUFFALO BULL CALVES,A,JOHN DANIEL KINGSTON,JDK
129,65,CATTLE-BUFFALO HERD BULLS,A,JOHN DANIEL KINGSTON,JDK
129,70,BUFFALO HUNT BULLS,A,JOHN DANIEL KINGSTON,JDK
129,80,CATTLE,A,JOHN DANIEL KINGSTON,JDK
129,100,CATTLE SEMEN,A,JOHN DANIEL KINGSTON,JDK
129,210,BEES BOXES,A,JOHN DANIEL KINGSTON,JDK
129,220,HONEY EXTRACTING EQUIP,A,JOHN DANIEL KINGSTON,JDK
130,,HORSES,A,JOHN DANIEL KINGSTON,JDK
136,,PREPAID RENT,A,JOHN DANIEL KINGSTON,JDK
138,,PREPAID INSURANCE,A,JOHN DANIEL KINGSTON,JDK
142,,OTHER PREPAID ASSETS,A,JOHN DANIEL KINGSTON,JDK
142,136,PREPAID ASSETS-RENT,A,JOHN DANIEL KINGSTON,JDK
142,138,PREPAID ASSETS-INSURANCE,A,JOHN DANIEL KINGSTON,JDK
143,,UNCLEARED CHECK ACCRUAL,A,JOHN DANIEL KINGSTON,JDK
143,5,UNCLEARED CHECK ACCRUAL,A,JOHN DANIEL KINGSTON,JDK
144,,VOUCHER CASH,A,JOHN DANIEL KINGSTON,JDK
144,100,ISSUED VOUCHERS,A,JOHN DANIEL KINGSTON,JDK
145,,AR INC. TO DATE,A,JOHN DANIEL KINGSTON,JDK
146,,CASH IN BANK ACCOUNTS,A,JOHN DANIEL KINGSTON,JDK
147,,CASH IN TRUST ACCOUNTS,A,JOHN DANIEL KINGSTON,JDK
148,,OTHER CURRENT ASSETS,A,JOHN DANIEL KINGSTON,JDK
148,31,OTHER CURRENT ASSETS,A,JOHN DANIEL KINGSTON,JDK
149,,TOTAL CURRENT ASSETS,T,JOHN DANIEL KINGSTON,JDK
150,,LONG TERM ASSETS,H,JOHN DANIEL KINGSTON,JDK
151,,LONG TERM CONTRACTS & NTS REC,A,JOHN DANIEL KINGSTON,JDK
152,,ALLOWANCE FOR DOUBTFUL ACTS,A,JOHN DANIEL KINGSTON,JDK
153,,INTERNAL INVESTMENTS,A,JOHN DANIEL KINGSTON,JDK
154,,OTHER LONG TERM INVESTMENTS,A,JOHN DANIEL KINGSTON,JDK
155,,LONG TERM LOANS,A,JOHN DANIEL KINGSTON,JDK
157,,VEHICLES,A,JOHN DANIEL KINGSTON,JDK
157,200,VEHICLES-HAY & FEED,A,JOHN DANIEL KINGSTON,JDK
157,400,VEHICLES-TRAILERS,A,JOHN DANIEL KINGSTON,JDK
157,450,VEHICLES-REFRIDGERATED TRAILER,A,JOHN DANIEL KINGSTON,JDK
157,500,VEHICLES-ENCLOSED TRAILERS,A,JOHN DANIEL KINGSTON,JDK
157,900,VEHICLES-TRAILERS,A,JOHN DANIEL KINGSTON,JDK
158,,ACCUM DEPRECIATION VEHICLES,A,JOHN DANIEL KINGSTON,JDK
159,,PARTS,A,JOHN DANIEL KINGSTON,JDK
160,,ACCUM DEP PARTS,A,JOHN DANIEL KINGSTON,JDK
161,,EQUIPMENT,A,JOHN DANIEL KINGSTON,JDK
161,10,EQUIPMENT-HAND TOOLS,A,JOHN DANIEL KINGSTON,JDK
161,20,EQUIPMENT,A,JOHN DANIEL KINGSTON,JDK
161,40,CUTTING TOOLS,A,JOHN DANIEL KINGSTON,JDK
161,50,EQUIPMENT-FEED TRUCK #1,A,JOHN DANIEL KINGSTON,JDK
161,10,OSTRICH EQUIP,A,JOHN DANIEL KINGSTON,JDK
161,100,EQUIPMENT-TOOLS,A,JOHN DANIEL KINGSTON,JDK
161,130,EQUIPMENT,A,JOHN DANIEL KINGSTON,JDK
161,170,EQUIP-IMPROVEMENTS,A,JOHN DANIEL KINGSTON,JDK
161,190,EQUIP-PROPERTY UPKEEP,A,JOHN DANIEL KINGSTON,JDK
161,200,EQUIP-HAY & FEED,A,JOHN DANIEL KINGSTON,JDK
161,210,FEED MILL EQUIP,A,JOHN DANIEL KINGSTON,JDK
161,400,EQUIP-FUEL,A,JOHN DANIEL KINGSTON,JDK
161,500,EQUIP-IMPLEMENTS ETC,A,JOHN DANIEL KINGSTON,JDK
161,535,EQUIP-VEHICLES,A,JOHN DANIEL KINGSTON,JDK
161,550,EQUIP-MACHINERY SUPPLIES,A,JOHN DANIEL KINGSTON,JDK
161,700,EQUIPMENT-IRRIGATION,A,JOHN DANIEL KINGSTON,JDK
161,800,EQUIP-LIVESTOCK,A,JOHN DANIEL KINGSTON,JDK
161,810,EQUIPMENT - MTN WATER SYSTEM,A,JOHN DANIEL KINGSTON,JDK
161,850,EQUIP-POWER SYSTEM,A,JOHN DANIEL KINGSTON,JDK
161,900,EQUIP-COWS,A,JOHN DANIEL KINGSTON,JDK
161,100,CATTLE -EQUIP,A,JOHN DANIEL KINGSTON,JDK
161,200,FARM EQUIP,A,JOHN DANIEL KINGSTON,JDK
161,300,EQUIP-MEAT PROCESSING,A,JOHN DANIEL KINGSTON,JDK
161,400,BIOFUEL EQUIP,A,JOHN DANIEL KINGSTON,JDK
161,600,EQUIP-DAIRY,A,JOHN DANIEL KINGSTON,JDK
