account_number,sub_account_number,account_description,account_type,category_name,category_abbreviation
0,,SUSPENSE ACCOUNT,A,MINE CHART,MINE
100,,ASSETS,H,MINE CHART,MINE
101,,CURRENT ASSETS,H,MINE CHART,MINE
102,,BANK CASH,A,MINE CHART,MINE
103,,MARKETABLE SECURITIES,A,MINE CHART,MINE
108,,SHORT TERM CONTRACTS & NT REC,A,MINE CHART,MINE
109,,ST CONTRACTS REC - LEDGER,A,MINE CHART,MINE
111,,ACCOUNTS RECEIVABLE,A,MINE CHART,MINE
112,,ACCOUNTS RECEIVABLE,A,MINE CHART,MINE
113,,ALLOWANCE FOR DOUBTFUL A/R,A,MINE CHART,MINE
115,,INTEREST RECEIVABLE,A,MINE CHART,MINE
118,,RESALE INVENTORY,A,MINE CHART,MINE
118,100,RESALE INV-COAL,A,MINE CHART,MINE
118,200,RESALE INV-COAL LUMP,A,MINE CHART,MINE
118,300,RESALE INV-COAL SLACK,A,MINE CHART,MINE
118,400,RESALE INV-GAS,A,MINE CHART,MINE
118,500,RESALE INV-SAFETY,A,MINE CHART,MINE
118,600,RESALE INV-WOOD,A,MINE CHART,MINE
118,610,RESALE INV-WOOD PINION,A,MINE CHART,MINE
118,611,RESALE INV-WOOD-CEDAR,A,MINE CHART,MINE
118,612,RESALE INV-WOOD-PINE,A,MINE CHART,MINE
118,613,RESALE INV-WOOD-MIX,A,MINE CHART,MINE
118,614,RESALE INV-WOOD-CHERRY,A,MINE CHART,MINE
118,615,RESALE INV-APPLE,A,MINE CHART,MINE
118,616,RESALE INV-OAK,A,MINE CHART,MINE
118,617,RESALE INV-APRICOT,A,MINE CHART,MINE
118,618,RESALE INV-ASPEN,A,MINE CHART,MINE
118,620,RESALE INV-WOOD-BUNDLE PINION,A,MINE CHART,MINE
118,621,RESALE INV-BUNDLE CEDAR,A,MINE CHART,MINE
118,622,RESALE INV-BUNDLE PINE,A,MINE CHART,MINE
118,623,RESALE INV-BUNDLE MIX,A,MINE CHART,MINE
118,624,RESALE INV-BUNDLE-CHERRY,A,MINE CHART,MINE
118,625,RESALE INV-BUNDLE-APPLE,A,MINE CHART,MINE
118,626,RESALE INV-BUNDLE-OAK,A,MINE CHART,MINE
118,627,RESALE INV-BUNDLE APRICOT,A,MINE CHART,MINE
118,700,RESALE INV-COAL RESALE,A,MINE CHART,MINE
118,800,RESALE INV-METAL,A,MINE CHART,MINE
118,900,RESALE INV-HOSE,A,MINE CHART,MINE
118,100,RESALE INV-SUPPLIES,A,MINE CHART,MINE
118,1000,RESALE INV-REBUILDS,A,MINE CHART,MINE
118,1100,RESALE INV-PLUMBING,A,MINE CHART,MINE
118,1200,RESALE INV-MANTRIP,A,MINE CHART,MINE
118,1300,RESALE INV-FIRE SUPPRESSION,A,MINE CHART,MINE
118,1400,RESALE INV-RIGGING,A,MINE CHART,MINE
118,1500,RESALE INV-AUTO,A,MINE CHART,MINE
118,1600,RESALE INV-RANCH SUPPLIES,A,MINE CHART,MINE
118,1700,RESALE INV-FIREWOOD,A,MINE CHART,MINE
118,1800,RESALE INV-VENTILATION,A,MINE CHART,MINE
118,1900,RESALE INV-FREIGHT COAL,A,MINE CHART,MINE
118,200,RESALE INV-TOOLS,A,MINE CHART,MINE
118,2000,RESALE INV-PUMP,A,MINE CHART,MINE
118,2100,RESALE INV-CHAIN,A,MINE CHART,MINE
118,2200,RESALE INV-YARD,A,MINE CHART,MINE
118,2300,RESALE INV-CLEANING,A,MINE CHART,MINE
118,2400,RESALE INV-FENCING,A,MINE CHART,MINE
118,2500,RESALE INV-OIL,A,MINE CHART,MINE
118,2600,RESALE INV-WELDING,A,MINE CHART,MINE
118,2700,RESALE INV-BELTS,A,MINE CHART,MINE
118,2800,RESALE INV-OFFICE,A,MINE CHART,MINE
118,300,RESALE INV-TIRES,A,MINE CHART,MINE
118,400,RESALE INV-CLOTHING,A,MINE CHART,MINE
118,600,RESALE INV-ELECTRICAL,A,MINE CHART,MINE
118,7000,RESALE INV-MINING,A,MINE CHART,MINE
118,7100,RESALE INV-SUPPLIES,A,MINE CHART,MINE
118,7200,RESALE INV-TOOLS,A,MINE CHART,MINE
118,7300,RESALE INV-TIRES,A,MINE CHART,MINE
118,7400,RESALE INV-CLOTHING,A,MINE CHART,MINE
118,7500,RESALE INV-SAFETY,A,MINE CHART,MINE
118,7600,RESALE INV-ELECTRICS,A,MINE CHART,MINE
118,7700,RESALE INV-LUMP,A,MINE CHART,MINE
118,7800,RESALE INV-SLACK,A,MINE CHART,MINE
118,7900,RESALE INV-METAL,A,MINE CHART,MINE
118,8000,RESALE INV-HOSE,A,MINE CHART,MINE
118,8100,RESALE INV-REBUILDS,A,MINE CHART,MINE
118,8200,RESALE INV-PLUMBING,A,MINE CHART,MINE
118,8300,RESALE INV-MANTRIPS,A,MINE CHART,MINE
118,8400,RESALE INV-FIRE SUPPRESSION,A,MINE CHART,MINE
118,8500,RESALE INV-RIGGING,A,MINE CHART,MINE
118,8600,RESALE INV-AUTO,A,MINE CHART,MINE
118,8700,RESALE INV-RANCH SUPPLIES,A,MINE CHART,MINE
118,8800,RESALE INV-FIREWOOD,A,MINE CHART,MINE
118,8900,RESALE INV-VENTILATION,A,MINE CHART,MINE
118,9000,RESALE INV-FREIGHTCOAL,A,MINE CHART,MINE
118,9100,RESALE INV-PUMP,A,MINE CHART,MINE
118,9200,RESALE INV-CHAIN,A,MINE CHART,MINE
118,9300,RESALE INV-YARD,A,MINE CHART,MINE
118,9400,RESALE INV-CLEANING,A,MINE CHART,MINE
118,9500,RESALE INV-FENCING,A,MINE CHART,MINE
118,9600,RESALE INV-OIL,A,MINE CHART,MINE
118,9700,RESALE INV-WELDING,A,MINE CHART,MINE
118,9800,RESALE INV-BELTS,A,MINE CHART,MINE
118,9900,RESALE INV-OFFICE,A,MINE CHART,MINE
120,,RESALE EQUIPMENT,A,MINE CHART,MINE
125,,SUPPLIES,A,MINE CHART,MINE
134,,PREPAID ROYALTIES,A,MINE CHART,MINE
136,,PREPAID RENT,A,MINE CHART,MINE
138,,PREPAID INSURANCE,A,MINE CHART,MINE
143,,UNCLEARED CHECK ACCRUAL,A,MINE CHART,MINE
143,5,REGISTERS,A,MINE CHART,MINE
144,,REGISTER BALANCE,A,MINE CHART,MINE
144,100,ISSUED VOUCHERS,A,MINE CHART,MINE
145,,AR INC. TO DATE,A,MINE CHART,MINE
146,,CASH IN BANK ACCOUNTS,A,MINE CHART,MINE
147,,CASH IN TRUST ACCOUNTS,A,MINE CHART,MINE
148,,OTHER CURRENT ASSETS,A,MINE CHART,MINE
148,5,ADVANCE ROYALTIES ARTICLE 3,A,MINE CHART,MINE
149,,TOTAL CURRENT ASSETS,T,MINE CHART,MINE
150,,LONG TERM ASSETS,H,MINE CHART,MINE
151,,LONG TERM CONTRACTS & NTS REC,A,MINE CHART,MINE
153,,INTERNAL INVESTMENTS,A,MINE CHART,MINE
154,,OTHER LONG TERM INVESTMENTS,A,MINE CHART,MINE
155,,LONG TERM LOANS,A,MINE CHART,MINE
157,,VEHICLES,A,MINE CHART,MINE
158,,ACCUM DEPRECIATION VEHICLES,A,MINE CHART,MINE
159,,PARTS,A,MINE CHART,MINE
160,,ACCUM DEP PARTS,A,MINE CHART,MINE
161,,EQUIPMENT,A,MINE CHART,MINE
161,100,EQUIPMENT-SHELVING,A,MINE CHART,MINE
161,200,EQUIPMENT-TOOLS,A,MINE CHART,MINE
161,300,EQUIPMENT-LUMBER EQUIPMENT,A,MINE CHART,MINE
161,302,EQUIPMENT-30 BIG BUBBA TRAILR,A,MINE CHART,MINE
161,400,30 FT GOOSE NECK TRAILER,A,MINE CHART,MINE
161,100,EQUIPMENT-99 DODGE TRUCK,A,MINE CHART,MINE
161,200,EQUIPMENT-87 FORD DUMP TRUCK,A,MINE CHART,MINE
161,300,EQUIPMENT-20HAULER,A,MINE CHART,MINE
161,301,EQUIPMENT-83 HORSE TRAILER,A,MINE CHART,MINE
161,302,EQUIPMENT-30 BIG BUTTA TRAILR,A,MINE CHART,MINE
161,400,EQUIPMENT-LUMBER EQUIPMENT,A,MINE CHART,MINE
161,500,EQUIPMENT-SHELVING,A,MINE CHART,MINE
161,600,EQUIPMENT-TOOLS,A,MINE CHART,MINE
161,6000,NEW EQUIPMENT,A,MINE CHART,MINE
162,,ACCUM DEPRECIATION EQUIPMENT,A,MINE CHART,MINE
163,,COMPUTER HARDWARE,A,MINE CHART,MINE
164,,ACCUM DEPR COMPUTER HARDWARE,A,MINE CHART,MINE
165,,COMPUTER SOFTWARE,A,MINE CHART,MINE
166,,ACCUM DEPR COMPUTER SOFTWARE,A,MINE CHART,MINE
167,,FURNITURE & FIXTURES,A,MINE CHART,MINE
168,,ACCUM DEPR FURNITURE & FIXTURE,A,MINE CHART,MINE
170,,IMPROVEMENTS,A,MINE CHART,MINE
171,,ACCUM DEP IMPROVEMENTS,A,MINE CHART,MINE
174,,BUILDINGS,A,MINE CHART,MINE
175,,ACCUM DEPRECIATION BUILDINGS,A,MINE CHART,MINE
177,,,A,MINE CHART,MINE
178,,ACCUM DEPLETION,A,MINE CHART,MINE
184,,WATER SHARES,A,MINE CHART,MINE
185,,LAND LEASES,A,MINE CHART,MINE
185,1,"WBM LAND LEASES 350,000.",A,MINE CHART,MINE
190,,LAND,A,MINE CHART,MINE
