account_number,sub_account_number,account_description,account_type,category_name,category_abbreviation
0,,SUSPENSE ACCOUNT,A,MISCELLANEOUS CHART,MISC
100,,ASSETS,H,MISCELLANEOUS CHART,MISC
101,,CURRENT ASSETS,H,MISCELLANEOUS CHART,MISC
102,,BANK CASH,A,MISCELLANEOUS CHART,MISC
102,271,CASH-BANK OF UTAH,A,MISCELLANEOUS CHART,MISC
102,681,CASH-INTERNATIONAL TRANS,A,MISCELLANEOUS CHART,MISC
102,1100,CASH-CHECKING ACCT CLEARING,A,MISCELLANEOUS CHART,MISC
102,1200,CASH-AMEX CLEARING,A,MISCELLANEOUS CHART,MISC
102,1300,CASH-MC CLEARING,A,MISCELLANEOUS CHART,MISC
102,1400,CASH-VISA CLEARING,A,MISCELLANEOUS CHART,MISC
102,1500,CASH-DISCOVER CLEARING,A,MISCELLANEOUS CHART,MISC
102,7000,PETTY CASH,A,MISCELLANEOUS CHART,MISC
108,,SHORT TERM CONTRACTS & NT REC,A,MISCELLANEOUS CHART,MISC
109,,ST CONTRACTS REC - LEDGER,A,MISCELLANEOUS CHART,MISC
111,,ACCOUNTS RECEIVABLE,A,MISCELLANEOUS CHART,MISC
111,5000,A/R DETA/DTLL,A,MISCELLANEOUS CHART,MISC
112,,ACCOUNTS RECEIVABLE,A,MISCELLANEOUS CHART,MISC
113,,ALLOWANCE FOR DOUBTFUL A/R,A,MISCELLANEOUS CHART,MISC
115,,INTEREST RECEIVABLE,A,MISCELLANEOUS CHART,MISC
118,,RESALE INVENTORY,A,MISCELLANEOUS CHART,MISC
118,100,RESALE INV-PURCHASED GOODS,A,MISCELLANEOUS CHART,MISC
118,200,RESALE INV-RAW MATERIALS,A,MISCELLANEOUS CHART,MISC
118,300,WORK IN PROCESS,A,MISCELLANEOUS CHART,MISC
118,400,RESALE INV-FINISHED GOODS,A,MISCELLANEOUS CHART,MISC
118,1,RESALE INV-PEARL MOON MOHAIR,A,MISCELLANEOUS CHART,MISC
118,2,RESALE INV-BABY MOHAIR,A,MISCELLANEOUS CHART,MISC
118,3100,RESALE INV-TECH,A,MISCELLANEOUS CHART,MISC
118,3200,RESALE INV-WIP DIRECT LABOR,A,MISCELLANEOUS CHART,MISC
118,3300,RESALE INV-WIP SUB CONTRACT,A,MISCELLANEOUS CHART,MISC
118,3400,RESALE INV-WIP OVERHEAD,A,MISCELLANEOUS CHART,MISC
118,4000,RESALE INV-FINISHED GOODS,A,MISCELLANEOUS CHART,MISC
118,5000,RESALE INV-MUNITIONS,A,MISCELLANEOUS CHART,MISC
118,8000,RESALE INV-SHIPMENTS AWAIT INV,A,MISCELLANEOUS CHART,MISC
120,,RESALE EQUIPMENT,A,MISCELLANEOUS CHART,MISC
125,,SUPPLIES,A,MISCELLANEOUS CHART,MISC
125,1,BACKUP TAPES,A,MISCELLANEOUS CHART,MISC
136,,PREPAID RENT,A,MISCELLANEOUS CHART,MISC
138,,PREPAID INSURANCE,A,MISCELLANEOUS CHART,MISC
142,,OTHER PREPAID ASSETS,A,MISCELLANEOUS CHART,MISC
142,100,PREPAID MARKETING,A,MISCELLANEOUS CHART,MISC
143,,UNCLEARED CHECK ACCRUAL,A,MISCELLANEOUS CHART,MISC
143,5,REGISTERS,A,MISCELLANEOUS CHART,MISC
144,,REGISTER BALANCE,A,MISCELLANEOUS CHART,MISC
144,100,ISSUED VOUCHERS,A,MISCELLANEOUS CHART,MISC
145,,AR INC. TO DATE,A,MISCELLANEOUS CHART,MISC
146,,CASH IN BANK ACCOUNTS,A,MISCELLANEOUS CHART,MISC
147,,CASH IN TRUST ACCOUNTS,A,MISCELLANEOUS CHART,MISC
148,,OTHER CURRENT ASSETS,A,MISCELLANEOUS CHART,MISC
148,100,PREPAID ACCOUNTS PAYABLE,A,MISCELLANEOUS CHART,MISC
149,,TOTAL CURRENT ASSETS,T,MISCELLANEOUS CHART,MISC
150,,LONG TERM ASSETS,H,MISCELLANEOUS CHART,MISC
151,,LONG TERM CONTRACTS & NTS REC,A,MISCELLANEOUS CHART,MISC
153,,INTERNAL INVESTMENTS,A,MISCELLANEOUS CHART,MISC
154,,OTHER LONG TERM INVESTMENTS,A,MISCELLANEOUS CHART,MISC
155,,LONG TERM LOANS,A,MISCELLANEOUS CHART,MISC
157,,VEHICLES,A,MISCELLANEOUS CHART,MISC
158,,ACCUM DEPRECIATION VEHICLES,A,MISCELLANEOUS CHART,MISC
159,,PARTS,A,MISCELLANEOUS CHART,MISC
159,5000,SHORT TERM TOOLING,A,MISCELLANEOUS CHART,MISC
160,,ACCUM DEP PARTS,A,MISCELLANEOUS CHART,MISC
160,5000,ACCUM DEP-TOOLING,A,MISCELLANEOUS CHART,MISC
161,,EQUIPMENT,A,MISCELLANEOUS CHART,MISC
161,110,EQUIP-HAAS 1 HAQ7438-1,A,MISCELLANEOUS CHART,MISC
161,120,EQUIP-HAAS 2 HAQ7892-1,A,MISCELLANEOUS CHART,MISC
161,130,EQUIP-HAAS MINI,A,MISCELLANEOUS CHART,MISC
161,210,EQUIP-MAZAK 1 QTN-250M-Y,A,MISCELLANEOUS CHART,MISC
161,220,EQUIP-MAZAK 2 SUPER QUICK TURN,A,MISCELLANEOUS CHART,MISC
161,300,EQUIP-MANUAL LATHES&MILLS,A,MISCELLANEOUS CHART,MISC
161,400,EQUIP-MORI SEIKI HORIZONTAL,A,MISCELLANEOUS CHART,MISC
161,500,EQUIP-FIXTURES FOR PARTS,A,MISCELLANEOUS CHART,MISC
161,1000,EQUIP-VIDEO&IMAGING,A,MISCELLANEOUS CHART,MISC
161,1500,EQUIP-INSPECTION TOOLS&EQUIP,A,MISCELLANEOUS CHART,MISC
161,2000,EQUIP-POWER TOOLS,A,MISCELLANEOUS CHART,MISC
161,2500,EQUIP-HAND TOOLS,A,MISCELLANEOUS CHART,MISC
161,3000,EQUIP-SECURITY SYSTEM,A,MISCELLANEOUS CHART,MISC
161,3500,MARKETING/TRADESHOW ASSETS,A,MISCELLANEOUS CHART,MISC
161,5000,EQUIP-SHOOTING,A,MISCELLANEOUS CHART,MISC
161,7500,EQUIP-INJECTION MOLDS,A,MISCELLANEOUS CHART,MISC
162,,ACCUM DEPRECIATION EQUIPMENT,A,MISCELLANEOUS CHART,MISC
162,110,ACCUM DEP-HASS 1,A,MISCELLANEOUS CHART,MISC
162,120,ACCUM DEP-HAAS 2,A,MISCELLANEOUS CHART,MISC
162,130,ACCUM DEP-HAAS MINI,A,MISCELLANEOUS CHART,MISC
162,210,ACCUM DEP-MAZAK 1,A,MISCELLANEOUS CHART,MISC
162,220,ACCUM DEP-MAZAK 2,A,MISCELLANEOUS CHART,MISC
162,300,ACCUM DEP-MANUAL LATHES&MILLS,A,MISCELLANEOUS CHART,MISC
162,400,ACCUM DEP-MORI SEIKI HRZNTL,A,MISCELLANEOUS CHART,MISC
162,500,ACCUM DEP-FIXTURES FOR PARTS,A,MISCELLANEOUS CHART,MISC
162,1000,ACCUM DEP-VIDEO&IMAGING,A,MISCELLANEOUS CHART,MISC
162,1500,ACCUM DEP-INSPECTION TOOLS,A,MISCELLANEOUS CHART,MISC
162,2000,ACCUM DEP-POWER TOOLS,A,MISCELLANEOUS CHART,MISC
162,2500,ACCUM DEPR-HAND TOOLS,A,MISCELLANEOUS CHART,MISC
162,3000,ACCUM DEP-SECRUITY SYSTEM,A,MISCELLANEOUS CHART,MISC
162,3500,ACCUM DEP-MARKETING/TRADESHOW,A,MISCELLANEOUS CHART,MISC
162,5000,ACCUM DEP-SHOOTING EQUIP,A,MISCELLANEOUS CHART,MISC
162,7500,ACCUM DEP-INJECTION MOLDS,A,MISCELLANEOUS CHART,MISC
163,,COMPUTER HARDWARE,A,MISCELLANEOUS CHART,MISC
163,1,COMP HDWR SERVERS,A,MISCELLANEOUS CHART,MISC
163,10,NETWORK HARDWARE,A,MISCELLANEOUS CHART,MISC
163,2,COM HDWR PCS,A,MISCELLANEOUS CHART,MISC
163,20,COMP HDWR PRINTERS,A,MISCELLANEOUS CHART,MISC
164,,ACCUM DEPR COMPUTER HARDWARE,A,MISCELLANEOUS CHART,MISC
165,,COMPUTER SOFTWARE,A,MISCELLANEOUS CHART,MISC
165,100,EDUCATIONAL TRAINING PROGRAM,A,MISCELLANEOUS CHART,MISC
166,,ACCUM DEPR COMPUTER SOFTWARE,A,MISCELLANEOUS CHART,MISC
