account_number,sub_account_number,account_description,account_type,category_name,category_abbreviation
0,,SUSPENSE ACCOUNT,A,MTN DISTRIBUTORS CHART,MTN
100,,ASSETS,H,MTN DISTRIBUTORS CHART,MTN
101,,CURRENT ASSETS,H,MTN DISTRIBUTORS CHART,MTN
102,,BANK CASH,A,MTN DISTRIBUTORS CHART,MTN
102,1,CASH ACCRUAL,A,MTN DISTRIBUTORS CHART,MTN
102,7,PETTY CASH,A,MTN DISTRIBUTORS CHART,MTN
102,70,CASH IN ATM,A,MTN DISTRIBUTORS CHART,MTN
103,,MARKETABLE SECURITIES,A,MTN DISTRIBUTORS CHART,MTN
108,,SHORT TERM CONTRACTS & NT REC,A,MTN DISTRIBUTORS CHART,MTN
109,,ST CONTRACTS REC - LEDGER,A,MTN DISTRIBUTORS CHART,MTN
111,,ACCOUNTS RECEIVABLE,A,MTN DISTRIBUTORS CHART,MTN
112,,ACCOUNTS RECEIVABLE,A,MTN DISTRIBUTORS CHART,MTN
113,,ALLOWANCE FOR DOUBTFUL A/R,A,MTN DISTRIBUTORS CHART,MTN
113,100,ALLOWANCE FOR BAD DEBTS,A,MTN DISTRIBUTORS CHART,MTN
115,,INTEREST RECEIVABLE,A,MTN DISTRIBUTORS CHART,MTN
118,,RESALE INVENTORY,A,MTN DISTRIBUTORS CHART,MTN
119,,RESALE PARTS,A,MTN DISTRIBUTORS CHART,MTN
119,100,DEAD STOCK PARTS,A,MTN DISTRIBUTORS CHART,MTN
119,300,NINTENDO SERVICE CENTER,A,MTN DISTRIBUTORS CHART,MTN
119,400,RESALE KITS,A,MTN DISTRIBUTORS CHART,MTN
119,700,RESALE RECORDS,A,MTN DISTRIBUTORS CHART,MTN
120,,RESALE EQUIPMENT,A,MTN DISTRIBUTORS CHART,MTN
120,100,DEAD STOCK EQUIP,A,MTN DISTRIBUTORS CHART,MTN
120,200,USED EQUIPMENT,A,MTN DISTRIBUTORS CHART,MTN
