account_number,sub_account_number,account_description,account_type,category_name,category_abbreviation
0,,SUSPENSE ACCOUNT,A,PERSONAL CHART,PERSON
100,,ASSETS,H,PERSONAL CHART,PERSON
101,,CURRENT ASSETS,H,PERSONAL CHART,PERSON
102,,BANK CASH,A,PERSONAL CHART,PERSON
103,,MARKETABLE SECURITIES,A,PERSONAL CHART,PERSON
108,,SHORT TERM CONTRACTS & NT REC,A,PERSONAL CHART,PERSON
109,,ST CONTRACTS REC - LEDGER,A,PERSONAL CHART,PERSON
111,,ACCOUNTS RECEIVABLE,A,PERSONAL CHART,PERSON
112,,ACCOUNTS RECEIVABLE,A,PERSONAL CHART,PERSON
113,,ALLOWANCE FOR DOUBTFUL A/R,A,PERSONAL CHART,PERSON
115,,INTEREST RECEIVABLE,A,PERSONAL CHART,PERSON
118,,RESALE INVENTORY,A,PERSONAL CHART,PERSON
120,,RESALE EQUIPMENT,A,PERSONAL CHART,PERSON
125,,SUPPLIES,A,PERSONAL CHART,PERSON
127,,BIRDS CHICKENS & TURKEYS,A,PERSONAL CHART,PERSON
128,,HAY & FEED INVENTORY,A,PERSONAL CHART,PERSON
129,,"CALVES, COWS & BULLS",A,PERSONAL CHART,PERSON
130,,HORSES,A,PERSONAL CHART,PERSON
136,,PREPAID RENT,A,PERSONAL CHART,PERSON
138,,PREPAID INSURANCE,A,PERSONAL CHART,PERSON
143,,UNCLEARED CHECK ACCRUAL,A,PERSONAL CHART,PERSON
144,,REGISTER BALANCE,A,PERSONAL CHART,PERSON
144,100,ISSUED VOUCHERS,A,PERSONAL CHART,PERSON
145,,AR INC. TO DATE,A,PERSONAL CHART,PERSON
146,,CASH IN BANK ACCOUNTS,A,PERSONAL CHART,PERSON
147,,CASH IN TRUST ACCOUNTS,A,PERSONAL CHART,PERSON
148,,OTHER CURRENT ASSETS,A,PERSONAL CHART,PERSON
150,,LONG TERM ASSETS,A,PERSONAL CHART,PERSON
151,,LONG TERM CONTRACTS & NTS REC,A,PERSONAL CHART,PERSON
153,,INTERNAL INVESTMENTS,A,PERSONAL CHART,PERSON
154,,OTHER LONG TERM INVESTMENTS,A,PERSONAL CHART,PERSON
155,,LONG TERM UNITS USING LOANS,A,PERSONAL CHART,PERSON
155,1,CONTRA ACCT TO LONG TERM LOANS,A,PERSONAL CHART,PERSON
157,,VEHICLES,A,PERSONAL CHART,PERSON
157,6,CREATIVE DECOR VEHICLE,A,PERSONAL CHART,PERSON
158,,ACCUM DEPRECIATION VEHICLES,A,PERSONAL CHART,PERSON
160,,ACCUM DEP PARTS,A,PERSONAL CHART,PERSON
161,,EQUIPMENT,A,PERSONAL CHART,PERSON
161,5,DAY CARE EQUIPMENT,A,PERSONAL CHART,PERSON
161,6,CREATIVE DECOR EQUIP,A,PERSONAL CHART,PERSON
161,8,FLOWERS FOR EVER EQUIP,A,PERSONAL CHART,PERSON
162,,ACCUM DEPRECIATION EQUIPMENT,A,PERSONAL CHART,PERSON
163,,COMPUTER HARDWARE,A,PERSONAL CHART,PERSON
164,,ACCUM DEPR COMPUTER HARDWARE,A,PERSONAL CHART,PERSON
165,,COMPUTER SOFTWARE,A,PERSONAL CHART,PERSON
166,,ACCUM DEPR COMPUTER SOFTWARE,A,PERSONAL CHART,PERSON
167,,FURNITURE & FIXTURES,A,PERSONAL CHART,PERSON
167,8,FURN & FIXT F4E,A,PERSONAL CHART,PERSON
168,,ACCUM DEPR FURNITURE & FIXTURE,A,PERSONAL CHART,PERSON
170,,IMPROVEMENTS,A,PERSONAL CHART,PERSON
170,8,IMPROVEMENTS F4E WIRING,A,PERSONAL CHART,PERSON
171,,ACCUM DEP IMPROVEMENTS,A,PERSONAL CHART,PERSON
174,,BUILDINGS,A,PERSONAL CHART,PERSON
174,8,FLOWERS FOR EVER BUILDING,A,PERSONAL CHART,PERSON
175,,ACCUM DEPRECIATION BUILDINGS,A,PERSONAL CHART,PERSON
180,,TREES,A,PERSONAL CHART,PERSON
184,,WATER SHARES,A,PERSONAL CHART,PERSON
190,,LAND,A,PERSONAL CHART,PERSON
194,,UNITS REC S.C.,A,PERSONAL CHART,PERSON
