account_number,sub_account_number,account_description,account_type,category_name,category_abbreviation
0,,SUSPENSE ACCOUNT,A,PERPETUAL YOUTH,PYTH
100,,ASSETS,H,PERPETUAL YOUTH,PYTH
101,,CURRENT ASSETS,H,PERPETUAL YOUTH,PYTH
102,,BANK CASH,A,PERPETUAL YOUTH,PYTH
108,,SHORT TERM CONTRACTS & NT REC,A,PERPETUAL YOUTH,PYTH
109,,ST CONTRACTS REC - LEDGER,A,PERPETUAL YOUTH,PYTH
111,,ACCOUNTS RECEIVABLE,A,PERPETUAL YOUTH,PYTH
112,,ACCOUNTS RECEIVABLE,A,PERPETUAL YOUTH,PYTH
113,,ALLOWANCE FOR DOUBTFUL A/R,A,PERPETUAL YOUTH,PYTH
115,,INTEREST RECEIVABLE,A,PERPETUAL YOUTH,PYTH
118,,RESALE INVENTORY,A,PERPETUAL YOUTH,PYTH
136,,PREPAID RENT,A,PERPETUAL YOUTH,PYTH
138,,PREPAID INSURANCE,A,PERPETUAL YOUTH,PYTH
143,,UNCLEARED CHECK ACCRUAL,A,PERPETUAL YOUTH,PYTH
143,5,REGISTERS,A,PERPETUAL YOUTH,PYTH
144,,REGISTER BALANCE,A,PERPETUAL YOUTH,PYTH
144,100,ISSUED VOUCHERS,A,PERPETUAL YOUTH,PYTH
145,,AR INC. TO DATE,A,PERPETUAL YOUTH,PYTH
146,,CASH IN BANK ACCOUNTS,A,PERPETUAL YOUTH,PYTH
147,,CASH IN TRUST ACCOUNTS,A,PERPETUAL YOUTH,PYTH
148,,OTHER CURRENT ASSETS,A,PERPETUAL YOUTH,PYTH
149,,TOTAL CURRENT ASSETS,T,PERPETUAL YOUTH,PYTH
150,,LONG TERM ASSETS,H,PERPETUAL YOUTH,PYTH
151,,LONG TERM CONTRACTS & NTS REC,A,PERPETUAL YOUTH,PYTH
153,,INTERNAL INVESTMENTS,A,PERPETUAL YOUTH,PYTH
155,,LONG TERM LOANS,A,PERPETUAL YOUTH,PYTH
159,,PARTS,A,PERPETUAL YOUTH,PYTH
161,,EQUIPMENT,A,PERPETUAL YOUTH,PYTH
161,100,EXERCISE EQUIPMENT,A,PERPETUAL YOUTH,PYTH
161,300,OFFICE EQUIPMENT,A,PERPETUAL YOUTH,PYTH
161,400,POWERCISE EQUIPMENT,A,PERPETUAL YOUTH,PYTH
161,500,WEIGHTS,A,PERPETUAL YOUTH,PYTH
162,,ACCUM DEPRECIATION EQUIPMENT,A,PERPETUAL YOUTH,PYTH
163,,COMPUTER HARDWARE,A,PERPETUAL YOUTH,PYTH
164,,ACCUM DEPR COMPUTER HARDWARE,A,PERPETUAL YOUTH,PYTH
165,,COMPUTER SOFTWARE,A,PERPETUAL YOUTH,PYTH
166,,ACCUM DEPR COMPUTER SOFTWARE,A,PERPETUAL YOUTH,PYTH
167,,FURNITURE & FIXTURES,A,PERPETUAL YOUTH,PYTH
168,,ACCUM DEPR FURNITURE & FIXTURE,A,PERPETUAL YOUTH,PYTH
170,,IMPROVEMENTS,A,PERPETUAL YOUTH,PYTH
170,100,BASKETBALL COURTS IMP,A,PERPETUAL YOUTH,PYTH
170,200,EXERCISE ROOM IMP,A,PERPETUAL YOUTH,PYTH
170,300,HOT POOLS & STEAM ROOM IMP,A,PERPETUAL YOUTH,PYTH
170,500,RACQUETBALL COURTS IMP,A,PERPETUAL YOUTH,PYTH
170,550,SWIMMING POOL IMP,A,PERPETUAL YOUTH,PYTH
170,600,TENNIS COURTS IMP,A,PERPETUAL YOUTH,PYTH
170,700,WEIGHT ROOM IMP,A,PERPETUAL YOUTH,PYTH
171,,ACCUM DEP IMPROVEMENTS,A,PERPETUAL YOUTH,PYTH
174,,BUILDINGS,A,PERPETUAL YOUTH,PYTH
174,200,ELECTRONIC SIGN,A,PERPETUAL YOUTH,PYTH
175,,ACCUM DEPRECIATION BUILDINGS,A,PERPETUAL YOUTH,PYTH
190,,LAND,A,PERPETUAL YOUTH,PYTH
194,,UNITS REC S.C.,A,PERPETUAL YOUTH,PYTH
195,,UNITS USING,A,PERPETUAL YOUTH,PYTH
198,,TOTAL LONG TERM ASSETS,T,PERPETUAL YOUTH,PYTH
199,,TOTAL ASSETS,T,PERPETUAL YOUTH,PYTH
200,,LIABILITIES & OWNERS EQUITY,H,PERPETUAL YOUTH,PYTH
201,,LIABILITIES,H,PERPETUAL YOUTH,PYTH
202,,CURRENT LIABILITIES,H,PERPETUAL YOUTH,PYTH
203,,ACCOUNTS PAYABLE,A,PERPETUAL YOUTH,PYTH
204,,ACCOUNTS PAYABLE-COMPUTER,A,PERPETUAL YOUTH,PYTH
205,,ACCTS PAY-A/P COMPUTER ACCRUAL,A,PERPETUAL YOUTH,PYTH
206,,SHORT TERM CONTRACTS & NT PAY,A,PERPETUAL YOUTH,PYTH
207,,ST CONTRACTS PAY - LEDGER,A,PERPETUAL YOUTH,PYTH
210,,INTEREST PAYABLE,A,PERPETUAL YOUTH,PYTH
215,,ACCRUED PAYROLL,A,PERPETUAL YOUTH,PYTH
217,,ACCRUED TAXES-FICA,A,PERPETUAL YOUTH,PYTH
218,,ACCRUED TAXES-FED,A,PERPETUAL YOUTH,PYTH
219,,ACCRUED TAXES-STATE,A,PERPETUAL YOUTH,PYTH
220,,ACCRUED TAXES-FUTA & SUTA,A,PERPETUAL YOUTH,PYTH
221,,ACCRUED TAXES-WORKMANS COMP,A,PERPETUAL YOUTH,PYTH
222,,ACCRUED PROPERTY TAXES,A,PERPETUAL YOUTH,PYTH
227,,ACCRUED SALES TAXES,A,PERPETUAL YOUTH,PYTH
246,1,SECURITY DEPOSITS,A,PERPETUAL YOUTH,PYTH
246,2,PREPAID RENT,A,PERPETUAL YOUTH,PYTH
248,,OTHER CURRENT LIABILITIES,A,PERPETUAL YOUTH,PYTH
249,,TOTAL CURRENT LIABILITIES,T,PERPETUAL YOUTH,PYTH
250,,LONG TERM LIABILITIES,H,PERPETUAL YOUTH,PYTH
270,,LONG TERM CONTRACTS & NT PAY,A,PERPETUAL YOUTH,PYTH
275,,LONG TERM LOANS,A,PERPETUAL YOUTH,PYTH
285,,UNITS PAY S.C.,A,PERPETUAL YOUTH,PYTH
