account_number,sub_account_number,account_description,account_type,category_name,category_abbreviation
0,,SUSPENSE ACCOUNT,A,RETAIL CHART,RETAIL
100,,ASSETS,H,RETAIL CHART,RETAIL
101,,CURRENT ASSETS,H,RETAIL CHART,RETAIL
102,,BANK CASH,A,RETAIL CHART,RETAIL
102,7,CASH ON HAND,A,RETAIL CHART,RETAIL
103,,MARKETABLE SECURITIES,A,RETAIL CHART,RETAIL
108,,SHORT TERM CONTRACTS & NT REC,A,RETAIL CHART,RETAIL
109,,ST CONTRACTS REC - LEDGER,A,RETAIL CHART,RETAIL
111,,ACCOUNTS RECEIVABLE,A,RETAIL CHART,RETAIL
112,,ACCOUNTS RECEIVABLE,A,RETAIL CHART,RETAIL
113,,ALLOWANCE FOR DOUBTFUL A/R,A,RETAIL CHART,RETAIL
115,,INTEREST RECEIVABLE,A,RETAIL CHART,RETAIL
118,,RESALE INVENTORY,A,RETAIL CHART,RETAIL
118,100,RESALE INVENTORY-MDSE IN PAWN,A,RETAIL CHART,RETAIL
118,200,RESALE INVENTORY-LAYAWAYS,A,RETAIL CHART,RETAIL
118,300,RESALE INVENTORY-AMUNITION,A,RETAIL CHART,RETAIL
118,500,REPOSESSED COLLATERAL,A,RETAIL CHART,RETAIL
118,1,RESALE INVENTORY,A,RETAIL CHART,RETAIL
118,1000,RESALE INV-KATHLEEN T,A,RETAIL CHART,RETAIL
118,7000,RESALE INVENTORY-MINING,A,RETAIL CHART,RETAIL
119,,RESALE PARTS,A,RETAIL CHART,RETAIL
120,,RESALE EQUIPMENT,A,RETAIL CHART,RETAIL
125,,SUPPLIES,A,RETAIL CHART,RETAIL
136,,PREPAID RENT,A,RETAIL CHART,RETAIL
138,,PREPAID INSURANCE,A,RETAIL CHART,RETAIL
143,,UNCLEARED CHECK ACCRUAL,A,RETAIL CHART,RETAIL
144,,REGISTER BALANCE,A,RETAIL CHART,RETAIL
144,100,ISSUED VOUCHERS,A,RETAIL CHART,RETAIL
145,,AR INC. TO DATE,A,RETAIL CHART,RETAIL
146,,CASH IN BANK ACCOUNTS,A,RETAIL CHART,RETAIL
147,,CASH IN TRUST ACCOUNTS,A,RETAIL CHART,RETAIL
148,,OTHER CURRENT ASSETS,A,RETAIL CHART,RETAIL
149,,TOTAL CURRENT ASSETS,T,RETAIL CHART,RETAIL
150,,LONG TERM ASSETS,H,RETAIL CHART,RETAIL
151,,LONG TERM CONTRACTS & NTS REC,A,RETAIL CHART,RETAIL
153,,INTERNAL INVESTMENTS,A,RETAIL CHART,RETAIL
154,,OTHER LONG TERM INVESTMENTS,A,RETAIL CHART,RETAIL
155,,LONG TERM LOANS,A,RETAIL CHART,RETAIL
157,,VEHICLES,A,RETAIL CHART,RETAIL
158,,ACCUM DEPRECIATION VEHICLES,A,RETAIL CHART,RETAIL
161,,EQUIPMENT,A,RETAIL CHART,RETAIL
162,,ACCUM DEPRECIATION EQUIPMENT,A,RETAIL CHART,RETAIL
163,,COMPUTER HARDWARE,A,RETAIL CHART,RETAIL
164,,ACCUM DEPR COMPUTER HARDWARE,A,RETAIL CHART,RETAIL
165,,COMPUTER SOFTWARE,A,RETAIL CHART,RETAIL
166,,ACCUM DEPR COMPUTER SOFTWARE,A,RETAIL CHART,RETAIL
167,,FURNITURE & FIXTURES,A,RETAIL CHART,RETAIL
168,,ACCUM DEPR FURNITURE & FIXTURE,A,RETAIL CHART,RETAIL
170,,IMPROVEMENTS,A,RETAIL CHART,RETAIL
171,,ACCUM DEP IMPROVEMENTS,A,RETAIL CHART,RETAIL
174,,BUILDINGS,A,RETAIL CHART,RETAIL
175,,ACCUM DEPRECIATION BUILDINGS,A,RETAIL CHART,RETAIL
184,,WATER SHARES,A,RETAIL CHART,RETAIL
190,,LAND,A,RETAIL CHART,RETAIL
193,5,GOODWILL,A,RETAIL CHART,RETAIL
194,,UNITS REC S.C.,A,RETAIL CHART,RETAIL
195,,UNITS USING,A,RETAIL CHART,RETAIL
198,,TOTAL LONG TERM ASSETS,T,RETAIL CHART,RETAIL
199,,TOTAL ASSETS,T,RETAIL CHART,RETAIL
200,,LIABILITIES & OWNERS EQUITY,H,RETAIL CHART,RETAIL
201,,LIABILITIES,H,RETAIL CHART,RETAIL
202,,CURRENT LIABILITIES,H,RETAIL CHART,RETAIL
203,,ACCOUNTS PAYABLE,A,RETAIL CHART,RETAIL
204,,ACCOUNTS PAYABLE-COMPUTER,A,RETAIL CHART,RETAIL
205,,ACCTS PAY-A/P COMPUTER ACCRUAL,A,RETAIL CHART,RETAIL
206,,SHORT TERM CONTRACTS & NT PAY,A,RETAIL CHART,RETAIL
207,,ST CONTRACTS PAY - LEDGER,A,RETAIL CHART,RETAIL
210,,INTEREST PAYABLE,A,RETAIL CHART,RETAIL
215,,ACCRUED PAYROLL,A,RETAIL CHART,RETAIL
217,,ACCRUED TAXES-FICA,A,RETAIL CHART,RETAIL
218,,ACCRUED TAXES-FED,A,RETAIL CHART,RETAIL
219,,ACCRUED TAXES-STATE,A,RETAIL CHART,RETAIL
220,,ACCRUED TAXES-FUTA & SUTA,A,RETAIL CHART,RETAIL
221,,ACCRUED TAXES-WORKMANS COMP,A,RETAIL CHART,RETAIL
222,,ACCRUED PROPERTY TAXES,A,RETAIL CHART,RETAIL
227,,ACCRUED SALES TAXES,A,RETAIL CHART,RETAIL
246,,UNEARNED REVENUE,A,RETAIL CHART,RETAIL
248,,OTHER CURRENT LIABILITIES,A,RETAIL CHART,RETAIL
249,,TOTAL CURRENT LIABILITIES,T,RETAIL CHART,RETAIL
250,,LONG TERM LIABILITIES,H,RETAIL CHART,RETAIL
260,,BONDS PAYABLE,A,RETAIL CHART,RETAIL
270,,LONG TERM CONTRACTS & NT PAY,A,RETAIL CHART,RETAIL
275,,LONG TERM LOANS,A,RETAIL CHART,RETAIL
276,,OTHER LONG TERM NOTES PAYABLE,A,RETAIL CHART,RETAIL
285,,UNITS PAY S.C.,A,RETAIL CHART,RETAIL
290,,TOTAL LONG TERM LIABILITIES,T,RETAIL CHART,RETAIL
299,,TOTAL LIABILITIES,T,RETAIL CHART,RETAIL
300,,STOCKHOLDERS EQUITY,H,RETAIL CHART,RETAIL
301,,CAPITAL STOCK,A,RETAIL CHART,RETAIL
320,,PAID IN CAP. IN EXCESS OF PAR,A,RETAIL CHART,RETAIL
335,,DEBTS NOT COVERED,A,RETAIL CHART,RETAIL
340,,BEGINNING RETAINED EARNINGS,A,RETAIL CHART,RETAIL
350,,RETAINED EARNINGS,A,RETAIL CHART,RETAIL
398,,TOTAL OWNERS EQUITY,T,RETAIL CHART,RETAIL
399,,TOT. LIAB. & OWNERSS EQUITY,T,RETAIL CHART,RETAIL
400,,INCOME STATEMENT,H,RETAIL CHART,RETAIL
402,,REVENUE,H,RETAIL CHART,RETAIL
404,,**,H,RETAIL CHART,RETAIL
405,,SALES,H,RETAIL CHART,RETAIL
405,100,SALES-SS INCOME,A,RETAIL CHART,RETAIL
405,110,SALES-COMPANY,A,RETAIL CHART,RETAIL
405,150,SALES-PROGRAM,A,RETAIL CHART,RETAIL
405,190,SERVICE REPAIR INCOME,A,RETAIL CHART,RETAIL
405,200,VENDOR COUPON SALES,A,RETAIL CHART,RETAIL
405,300,EBAY SALES,A,RETAIL CHART,RETAIL
405,400,TRADE SALES,A,RETAIL CHART,RETAIL
405,450,SALES-HORIZONS FOOD ST & WIC,A,RETAIL CHART,RETAIL
405,500,INTER COMPANY SALES,A,RETAIL CHART,RETAIL
405,600,NON-TAXABLE SALES,A,RETAIL CHART,RETAIL
405,7000,SALES-MINING,A,RETAIL CHART,RETAIL
420,,OTHER SALES,A,RETAIL CHART,RETAIL
421,,WAGE MDSE REVENUE,A,RETAIL CHART,RETAIL
422,,RETURNS & ALLOWANCES,A,RETAIL CHART,RETAIL
425,,DISCOUNTS,A,RETAIL CHART,RETAIL
428,,SALES TAX,A,RETAIL CHART,RETAIL
430,,NET SALES,T,RETAIL CHART,RETAIL
432,,COST OF GOODS SOLD,H,RETAIL CHART,RETAIL
432,190,COGS-PARTS,A,RETAIL CHART,RETAIL
432,200,COGS-HUNTING,A,RETAIL CHART,RETAIL
432,300,COGS-EBAY,A,RETAIL CHART,RETAIL
432,190,COGS-PARTS,A,RETAIL CHART,RETAIL
432,5,COGS-INTERSTORE TRANSFERS,A,RETAIL CHART,RETAIL
432,7000,COGS-MINING,A,RETAIL CHART,RETAIL
435,,OTHER COST OF GOODS SOLD,A,RETAIL CHART,RETAIL
439,,TOTAL COST OF GOODS SOLD,T,RETAIL CHART,RETAIL
440,,GROSS MARGIN,T,RETAIL CHART,RETAIL
445,,OTHER REVENUE,H,RETAIL CHART,RETAIL
470,,RENTAL INCOME,A,RETAIL CHART,RETAIL
480,,SERVICE INCOME,A,RETAIL CHART,RETAIL
480,200,HUNTING INCOME,A,RETAIL CHART,RETAIL
480,500,FORFEITURE EXPENSE,A,RETAIL CHART,RETAIL
480,700,FORPEITURE INCOME,A,RETAIL CHART,RETAIL
480,5,PAWN INCOME,A,RETAIL CHART,RETAIL
482,,GAIN ON SALE OF AN ASSET,A,RETAIL CHART,RETAIL
484,,REBATES,A,RETAIL CHART,RETAIL
487,,INTEREST INCOME,A,RETAIL CHART,RETAIL
488,,LOAN INTEREST INCOME,A,RETAIL CHART,RETAIL
489,,LOAN FEE INCOME,A,RETAIL CHART,RETAIL
490,,LOAN PENALTY INCOME,A,RETAIL CHART,RETAIL
491,,OTHER INCOME,A,RETAIL CHART,RETAIL
492,,NOT CODED OTHER REVENUE,A,RETAIL CHART,RETAIL
493,,SCR LT,A,RETAIL CHART,RETAIL
494,,SCR ST,A,RETAIL CHART,RETAIL
495,,SCR INV,A,RETAIL CHART,RETAIL
496,,RECEIPTS REVENUE,A,RETAIL CHART,RETAIL
498,,TOTAL OTHER REVENUE,T,RETAIL CHART,RETAIL
499,,REVENUE LESS COGS,T,RETAIL CHART,RETAIL
500,,EXPENSES,H,RETAIL CHART,RETAIL
502,,OPERATING EXPENSES,H,RETAIL CHART,RETAIL
504,,CHARGED OFF ACTS,A,RETAIL CHART,RETAIL
505,,BAD CHECKS,A,RETAIL CHART,RETAIL
506,,WAGES,A,RETAIL CHART,RETAIL
507,,WAGE MDSE EXPENSE,A,RETAIL CHART,RETAIL
515,,COMMISSIONS,A,RETAIL CHART,RETAIL
517,,CONTRACT LABOR,A,RETAIL CHART,RETAIL
518,,FUTA TAX EXPENSE,A,RETAIL CHART,RETAIL
519,,SUTA TAX EXPENSE,A,RETAIL CHART,RETAIL
520,,FICA TAX EXPENSE,A,RETAIL CHART,RETAIL
521,,WORKMAN COMP INSURANCES,A,RETAIL CHART,RETAIL
525,,HEALTH INSURANCE,A,RETAIL CHART,RETAIL
530,,TRAVEL EXPENSES,A,RETAIL CHART,RETAIL
530,1,TRAVEL EXPENSES-TRAVEL,A,RETAIL CHART,RETAIL
530,2,TRAVEL EXPENSES-LODGING,A,RETAIL CHART,RETAIL
530,5,"TRAVEL EXP-MEALS, ACTUAL, PER-",A,RETAIL CHART,RETAIL
535,,REPAIRS & MAINT-VEHICLES,A,RETAIL CHART,RETAIL
536,,GAS & OIL,A,RETAIL CHART,RETAIL
540,,FREIGHT EXPENSE,A,RETAIL CHART,RETAIL
545,,ADVERTISING & PROMOTIONS,A,RETAIL CHART,RETAIL
550,,AP DISCOUNTS LOST,A,RETAIL CHART,RETAIL
560,,OTHER OPERATING EXP,A,RETAIL CHART,RETAIL
561,,TOTAL OPERATING EXP,T,RETAIL CHART,RETAIL
563,,GENERAL & ADMINISTRATIVE EXP,H,RETAIL CHART,RETAIL
564,,RENT-VEHICLES,H,RETAIL CHART,RETAIL
565,,RENT-BUILDING,A,RETAIL CHART,RETAIL
566,,RENT-EQUIPMENT & VEHICLES,A,RETAIL CHART,RETAIL
567,,RENT-LAND,A,RETAIL CHART,RETAIL
570,,REPAIRS & MAINT-BUILDING,A,RETAIL CHART,RETAIL
570,810,PEST CONTROL CONTRACT,A,RETAIL CHART,RETAIL
571,,REPAIR & MAINTENANCE EQUIPMENT,A,RETAIL CHART,RETAIL
572,,LANDSCAPING,A,RETAIL CHART,RETAIL
573,,BUILDING SECURITY,A,RETAIL CHART,RETAIL
574,,COMPUTER SOFTWARE MAINTENANCE,A,RETAIL CHART,RETAIL
580,,UTILITIES-FUEL,A,RETAIL CHART,RETAIL
581,,UTILITIES-ELECTRIC,A,RETAIL CHART,RETAIL
582,,UTILITIES-WATER & SEWER,A,RETAIL CHART,RETAIL
583,,UTILITIES-GARBAGE,A,RETAIL CHART,RETAIL
584,,UTILITIES-PHONE,A,RETAIL CHART,RETAIL
585,,UTILITIES-MISC,A,RETAIL CHART,RETAIL
587,,UTILITIES-ALARM,A,RETAIL CHART,RETAIL
590,,PROPERTY TAX,A,RETAIL CHART,RETAIL
595,,PERSONAL PROPERTY TAX,A,RETAIL CHART,RETAIL
600,,DEPRECIATION EXP-VEHICLES,A,RETAIL CHART,RETAIL
605,,DEPRECIATION EXP-EQUIPMENT,A,RETAIL CHART,RETAIL
607,,DEPRECIATION EXP-F & F,A,RETAIL CHART,RETAIL
609,,DEPRECIATION EXP-IMPROVEMENTS,A,RETAIL CHART,RETAIL
611,,DEPRECIATION EXP-BUILDINGS,A,RETAIL CHART,RETAIL
615,,CASUALTY/PROPERTY INSURANCE,A,RETAIL CHART,RETAIL
620,,VEHICLE INSURANCE,A,RETAIL CHART,RETAIL
621,,INSURANCE,A,RETAIL CHART,RETAIL
625,,"OTHER PREMISE, EQUIP & VEH EXP",A,RETAIL CHART,RETAIL
626,,"TOTAL PREMISE, EQUIP & VEH EXP",T,RETAIL CHART,RETAIL
628,,FACTORING FEE EXPENSE,A,RETAIL CHART,RETAIL
629,,ACCOUNTING FEES,A,RETAIL CHART,RETAIL
630,,PROFESSIONAL FEES,A,RETAIL CHART,RETAIL
631,,LEGAL FEES,A,RETAIL CHART,RETAIL
635,,OFFICE SUPPLIES EXPENSE,A,RETAIL CHART,RETAIL
638,,SUPPLIES,A,RETAIL CHART,RETAIL
639,,PARTS EXPENSE,A,RETAIL CHART,RETAIL
640,,POSTAGE EXPENSE,A,RETAIL CHART,RETAIL
650,,PERMITS & LICENSES,A,RETAIL CHART,RETAIL
655,,SUBSCRIPTIONS & MEMBERSHIPS,A,RETAIL CHART,RETAIL
659,,FILING FEES,A,RETAIL CHART,RETAIL
665,,FINES - PENALTY,A,RETAIL CHART,RETAIL
675,,BANK CHARGES,A,RETAIL CHART,RETAIL
675,1,MERCHANT CREDIT CARD FEES,A,RETAIL CHART,RETAIL
675,2,BANK WIRE FEES,A,RETAIL CHART,RETAIL
675,3,EBAY MERCHANT FEES,A,RETAIL CHART,RETAIL
676,,BANKCARD DISCOUNTS,A,RETAIL CHART,RETAIL
689,,DONATIONS,A,RETAIL CHART,RETAIL
690,,INCOME TAX PROVISION EXP,A,RETAIL CHART,RETAIL
690,1,INCOME TAX PAID-FEDERAL,A,RETAIL CHART,RETAIL
690,2,INCOME TAX PAID-STATE,A,RETAIL CHART,RETAIL
700,,GROCERY EXPENSE,A,RETAIL CHART,RETAIL
707,,EDUCA.& TRAINING EXPENSE,A,RETAIL CHART,RETAIL
710,,GIFT EXPENSE,A,RETAIL CHART,RETAIL
715,,CHARGE CARD EXPENSE,A,RETAIL CHART,RETAIL
720,,MEDICAL EXP,A,RETAIL CHART,RETAIL
740,,INTEREST EXPENSE,A,RETAIL CHART,RETAIL
741,,LOAN INTEREST EXPENSE,A,RETAIL CHART,RETAIL
742,,LOAN FEE EXPENSE,A,RETAIL CHART,RETAIL
743,,LOAN PENALTIES EXPENSE,A,RETAIL CHART,RETAIL
780,,LOSS ON SALE OF ASSET,A,RETAIL CHART,RETAIL
785,,OTHER EXPENSES,A,RETAIL CHART,RETAIL
788,,NOT CODED OTHER EXPENSE,A,RETAIL CHART,RETAIL
789,,SCP LT,A,RETAIL CHART,RETAIL
