account_number,sub_account_number,account_description,account_type,category_name,category_abbreviation
0,,SUSPENSE ACCOUNT,A,ROUTE CHART,ROUTE
100,,ASSETS,H,ROUTE CHART,ROUTE
101,,CURRENT ASSETS,H,ROUTE CHART,ROUTE
102,,BANK CASH,A,ROUTE CHART,ROUTE
102,1,CASH ACCRUAL,A,ROUTE CHART,ROUTE
102,10,CAFETERIA PLAN,A,ROUTE CHART,ROUTE
102,20,OTHER DEPOSIT CLEARING,A,ROUTE CHART,ROUTE
102,30,BILL CHANGERS INVENTORY,A,ROUTE CHART,ROUTE
102,40,CASH INVESTMENT ACCT,A,ROUTE CHART,ROUTE
102,50,COIN MECH CHANGERS,A,ROUTE CHART,ROUTE
102,60,REFUND MONEY,A,ROUTE CHART,ROUTE
102,7,PETTY CASH,A,ROUTE CHART,ROUTE
103,,MARKETABLE SECURITIES,A,ROUTE CHART,ROUTE
103,5,MRKT SEC STOCK PURCHASE B/S,A,ROUTE CHART,ROUTE
108,,SHORT TERM CONTRACTS & NT REC,A,ROUTE CHART,ROUTE
109,,ST CONTRACTS REC - LEDGER,A,ROUTE CHART,ROUTE
111,,ACCOUNTS RECEIVABLE,A,ROUTE CHART,ROUTE
112,,ACCOUNTS RECEIVABLE,A,ROUTE CHART,ROUTE
115,,INTEREST RECEIVABLE,A,ROUTE CHART,ROUTE
118,,RESALE INVENTORY,A,ROUTE CHART,ROUTE
118,100,RESALE INVENTORY - CIGARETTES,A,ROUTE CHART,ROUTE
118,10,RESALE INVENTORY - BIG COOKIE,A,ROUTE CHART,ROUTE
118,100,RESALE INVENTORY - PASTRY,A,ROUTE CHART,ROUTE
118,1000,RESALE INVENTORY,A,ROUTE CHART,ROUTE
118,110,RESALE INVENTORY - SODA BOTTLS,A,ROUTE CHART,ROUTE
118,1100,RESALE-PRODUCT VAN,A,ROUTE CHART,ROUTE
118,112,RESALE INVENTORY SODA CANS,A,ROUTE CHART,ROUTE
118,120,RESALE INVENTORY - SOUP,A,ROUTE CHART,ROUTE
118,1200,RESALE-PRODUCT WHSE,A,ROUTE CHART,ROUTE
118,130,RESALE INVENTORY JUICE BOTTLES,A,ROUTE CHART,ROUTE
118,1300,RESALE-PRODUCT MACHINES,A,ROUTE CHART,ROUTE
118,132,RESALE INVENTORY JUICE CANS,A,ROUTE CHART,ROUTE
118,140,RESALE INVENTORY SUNDRIES,A,ROUTE CHART,ROUTE
118,20,RESALE INVENTORY - CANDY,A,ROUTE CHART,ROUTE
118,22,RESALE INVENTORY-CANDY BAGGED,A,ROUTE CHART,ROUTE
118,24,RESALE INVENTORY POPCORM,A,ROUTE CHART,ROUTE
118,30,RESALE INVENTORY - CHIPS LSS,A,ROUTE CHART,ROUTE
118,32,RESALE INVENTORY-CHIPS SMALL,A,ROUTE CHART,ROUTE
118,40,RESALE INVENTORY - COFFEE,A,ROUTE CHART,ROUTE
118,50,RESALE INVENTORY - COLD CUPS,A,ROUTE CHART,ROUTE
118,60,RESALE INVENTORY - FOOD SANDWC,A,ROUTE CHART,ROUTE
118,62,RESALE INVENTORY FOOD FROZEN,A,ROUTE CHART,ROUTE
118,70,RESALE INVENTORY - GUM & MINT,A,ROUTE CHART,ROUTE
118,80,RESALE INVENTORY - ICECREAM,A,ROUTE CHART,ROUTE
118,90,RESALE INVENTORY - MILK CTNS,A,ROUTE CHART,ROUTE
118,92,RESALE INVENTORY MILK CHUGS,A,ROUTE CHART,ROUTE
119,,RESALE PARTS,A,ROUTE CHART,ROUTE
120,,RESALE EQUIPMENT,A,ROUTE CHART,ROUTE
125,,SUPPLIES,A,ROUTE CHART,ROUTE
136,,PREPAID RENT,A,ROUTE CHART,ROUTE
138,,PREPAID INSURANCE,A,ROUTE CHART,ROUTE
140,,PREPAID TAXES,A,ROUTE CHART,ROUTE
142,,OTHER PREPAID ASSETS,A,ROUTE CHART,ROUTE
143,,UNCLEARED CHECK ACCRUAL,A,ROUTE CHART,ROUTE
143,5,REGISTERS,A,ROUTE CHART,ROUTE
144,,REGISTER BALANCE,A,ROUTE CHART,ROUTE
144,100,ISSUED VOUCHERS,A,ROUTE CHART,ROUTE
145,,AR INC. TO DATE,A,ROUTE CHART,ROUTE
146,,CASH IN BANK ACCOUNTS,A,ROUTE CHART,ROUTE
147,,CASH IN TRUST ACCOUNTS,A,ROUTE CHART,ROUTE
148,,OTHER CURRENT ASSETS,A,ROUTE CHART,ROUTE
149,,TOTAL CURRENT ASSETS,T,ROUTE CHART,ROUTE
150,,LONG TERM ASSETS,H,ROUTE CHART,ROUTE
151,,LONG TERM CONTRACTS & NTS REC,A,ROUTE CHART,ROUTE
153,,INTERNAL INVESTMENTS,A,ROUTE CHART,ROUTE
154,,LONG TERM INVESTEMTNS,A,ROUTE CHART,ROUTE
155,,LONG TERM LOANS,A,ROUTE CHART,ROUTE
157,,VEHICLES,A,ROUTE CHART,ROUTE
158,,ACCUM DEPRECIATION VEHICLES,A,ROUTE CHART,ROUTE
159,,PARTS,A,ROUTE CHART,ROUTE
160,,ACCUM DEP PARTS,A,ROUTE CHART,ROUTE
161,,EQUIPMENT,A,ROUTE CHART,ROUTE
161,100,EQUIP CIGARETTE MACH,A,ROUTE CHART,ROUTE
161,200,EQUIP DIFFERENCE ACCT,A,ROUTE CHART,ROUTE
161,300,ROUTE EQUIPMENT,A,ROUTE CHART,ROUTE
161,10,EQUIP - BIG COOKIE,A,ROUTE CHART,ROUTE
161,100,EQUIP - PASTRY,A,ROUTE CHART,ROUTE
161,110,EQUIP - SODA,A,ROUTE CHART,ROUTE
161,120,EQUIP - SOUP,A,ROUTE CHART,ROUTE
161,130,EQUIP - COMMISSARY,A,ROUTE CHART,ROUTE
161,140,"OTHER EQUIP-MICROWAVES, CHNGRS",A,ROUTE CHART,ROUTE
161,20,EQUIP - CANDY,A,ROUTE CHART,ROUTE
161,30,EQUIP - CHIPS,A,ROUTE CHART,ROUTE
161,40,EQUIP - COFFEE,A,ROUTE CHART,ROUTE
161,50,EQUIP - COLD DRINKS,A,ROUTE CHART,ROUTE
161,60,EQUIP - FOOD,A,ROUTE CHART,ROUTE
161,70,EQUIP - GUM & MINT,A,ROUTE CHART,ROUTE
161,700,EQUIPEMENT-VENDING,A,ROUTE CHART,ROUTE
161,80,EQUIP - ICECREAM,A,ROUTE CHART,ROUTE
161,90,EQUIP - MILK,A,ROUTE CHART,ROUTE
162,,ACCUM DEPRECIATION EQUIPMENT,A,ROUTE CHART,ROUTE
162,250,ACCUM DEPR-DIFFERENCE ACCT,A,ROUTE CHART,ROUTE
162,350,ACCUM DEPR-ROUTE EQUIPMENT,A,ROUTE CHART,ROUTE
163,,COMPUTER HARDWARE,A,ROUTE CHART,ROUTE
164,,ACCUM DEPR COMPUTER HARDWARE,A,ROUTE CHART,ROUTE
165,,COMPUTER SOFTWARE,A,ROUTE CHART,ROUTE
166,,ACCUM DEPR COMPUTER SOFTWARE,A,ROUTE CHART,ROUTE
167,,FURNITURE & FIXTURES,A,ROUTE CHART,ROUTE
168,,ACCUM DEPR FURNITURE & FIXTURE,A,ROUTE CHART,ROUTE
170,,IMPROVEMENTS,A,ROUTE CHART,ROUTE
171,,ACCUM DEP IMPROVEMENTS,A,ROUTE CHART,ROUTE
174,,BUILDINGS,A,ROUTE CHART,ROUTE
174,10,BUILDING-NEW,A,ROUTE CHART,ROUTE
175,,ACCUM DEPRECIATION BUILDINGS,A,ROUTE CHART,ROUTE
175,10,ACCUM DEPREC BLDG-NEW,A,ROUTE CHART,ROUTE
190,,LAND,A,ROUTE CHART,ROUTE
191,,INTANGIBLE-RESEARCH & DEVELOPM,A,ROUTE CHART,ROUTE
192,,ACCUMULATED AMMORTIZATION,A,ROUTE CHART,ROUTE
193,,OTHER LONG TERM ASSETS,A,ROUTE CHART,ROUTE
193,5,GOODWILL,A,ROUTE CHART,ROUTE
194,,UNITS REC S.C.,A,ROUTE CHART,ROUTE
195,,UNITS USING,A,ROUTE CHART,ROUTE
198,,TOTAL LONG TERM ASSETS,T,ROUTE CHART,ROUTE
199,,TOTAL ASSETS,T,ROUTE CHART,ROUTE
200,,LIABILITIES & OWNERS EQUITY,H,ROUTE CHART,ROUTE
201,,LIABILITIES,H,ROUTE CHART,ROUTE
202,,CURRENT LIABILITIES,H,ROUTE CHART,ROUTE
203,,ACCOUNTS PAYABLE,A,ROUTE CHART,ROUTE
204,,ACCOUNTS PAYABLE-COMPUTER,A,ROUTE CHART,ROUTE
205,,ACCTS PAY-A/P COMPUTER ACCRUAL,A,ROUTE CHART,ROUTE
206,,SHORT TERM CONTRACTS & NT PAY,A,ROUTE CHART,ROUTE
207,,ST CONTRACTS PAY - LEDGER,A,ROUTE CHART,ROUTE
210,,INTEREST PAYABLE,A,ROUTE CHART,ROUTE
215,,ACCRUED PAYROLL,A,ROUTE CHART,ROUTE
217,,ACCRUED TAXES-FICA,A,ROUTE CHART,ROUTE
218,,ACCRUED TAXES-FED,A,ROUTE CHART,ROUTE
219,,ACCRUED TAXES-STATE,A,ROUTE CHART,ROUTE
220,,ACCRUED TAXES-FUTA & SUTA,A,ROUTE CHART,ROUTE
