account_number,sub_account_number,account_description,account_type,category_name,category_abbreviation
0,,SUSPENSE ACCOUNT,A,SDG CHART,SDG
100,,ASSETS,H,SDG CHART,SDG
101,,CURRENT ASSETS,H,SDG CHART,SDG
102,,BANK CASH,A,SDG CHART,SDG
102,100,VAULT COH,A,SDG CHART,SDG
102,200,CAGE CASH,A,SDG CHART,SDG
102,300,JACKPOT COH,A,SDG CHART,SDG
102,1,CASH ACCRUAL,A,SDG CHART,SDG
102,7,PETTY CASH,A,SDG CHART,SDG
103,,MARKETABLE SECURITIES,A,SDG CHART,SDG
108,,SHORT TERM CONTRACTS & NT REC,A,SDG CHART,SDG
109,,ACCOUNTS RECEIVABLE - LEDGER,A,SDG CHART,SDG
111,,ACCOUNTS RECEIVABLE,A,SDG CHART,SDG
111,100,BAD CK RECEIVABLE,A,SDG CHART,SDG
111,200,CAGE RECEIVABLE,A,SDG CHART,SDG
112,,ACCOUNTS RECEIVABLE,A,SDG CHART,SDG
113,,ALLOWANCE FOR DOUBTFUL A/R,A,SDG CHART,SDG
115,,INTEREST RECEIVABLE,A,SDG CHART,SDG
118,,RESALE INVENTORY,A,SDG CHART,SDG
125,,SUPPLIES,A,SDG CHART,SDG
125,100,CHIPS INVENTORY,A,SDG CHART,SDG
125,110,CHIPS OFFSET,A,SDG CHART,SDG
136,,PREPAID RENT,A,SDG CHART,SDG
138,,PREPAID INSURANCE,A,SDG CHART,SDG
140,,PREPAID TAXES,A,SDG CHART,SDG
142,,OTHER PREPAID ASSETS,A,SDG CHART,SDG
143,,UNCLEARED CHECK ACCRUAL,A,SDG CHART,SDG
143,5,REGISTERS,A,SDG CHART,SDG
144,,REGISTER BALANCE,A,SDG CHART,SDG
144,100,ISSUED VOUCHERS,A,SDG CHART,SDG
145,,AR INC. TO DATE,A,SDG CHART,SDG
146,,CASH IN BANK ACCOUNTS,A,SDG CHART,SDG
147,,CASH IN TRUST ACCOUNTS,A,SDG CHART,SDG
148,,OTHER CURRENT ASSETS,A,SDG CHART,SDG
149,,TOTAL CURRENT ASSETS,T,SDG CHART,SDG
150,,LONG TERM ASSETS,H,SDG CHART,SDG
151,,LONG TERM CONTRACTS & NTS REC,A,SDG CHART,SDG
153,,INTERNAL INVESTMENTS,A,SDG CHART,SDG
154,,OTHER LONG TERM INVESTMENTS,A,SDG CHART,SDG
155,,LONG TERM LOANS,A,SDG CHART,SDG
157,,VEHICLES,A,SDG CHART,SDG
158,,ACCUM DEPRECIATION VEHICLES,A,SDG CHART,SDG
161,,EQUIPMENT,A,SDG CHART,SDG
161,10,EQUIPMENT-UPPER PARCEL,A,SDG CHART,SDG
161,20,EQUIPMENT-LOWER PARCEL,A,SDG CHART,SDG
161,700,VENDING EQUIPMENT,A,SDG CHART,SDG
162,,ACCUM DEPRECIATION EQUIPMENT,A,SDG CHART,SDG
162,10,ACCUM DEPR EQUIP UPPER,A,SDG CHART,SDG
162,20,ACCUM DEPR EQUIP LOWER,A,SDG CHART,SDG
163,,COMPUTER HARDWARE,A,SDG CHART,SDG
164,,ACCUM DEPR COMPUTER HARDWARE,A,SDG CHART,SDG
165,,COMPUTER SOFTWARE,A,SDG CHART,SDG
166,,ACCUM DEPR COMPUTER SOFTWARE,A,SDG CHART,SDG
167,,FURNITURE & FIXTURES,A,SDG CHART,SDG
168,,ACCUM DEPR FURNITURE & FIXTURE,A,SDG CHART,SDG
170,,IMPROVEMENTS,A,SDG CHART,SDG
171,,ACCUM DEP IMPROVEMENTS,A,SDG CHART,SDG
174,,BUILDINGS,A,SDG CHART,SDG
174,10,BUILDINGS-UPPER PARCEL,A,SDG CHART,SDG
174,20,BUILDINGS-LOWER PARCEL,A,SDG CHART,SDG
175,,ACCUM DEPRECIATION BUILDINGS,A,SDG CHART,SDG
175,10,ACCUM DEPR BLDG-UPPER PARCEL,A,SDG CHART,SDG
175,20,ACCUM DEPR BLDG-LOWER PARCEL,A,SDG CHART,SDG
177,,,A,SDG CHART,SDG
185,,LAND LEASES,A,SDG CHART,SDG
190,,LAND,A,SDG CHART,SDG
190,10,LAND-UPPER PARCEL,A,SDG CHART,SDG
190,20,LAND-LOWER PARCEL,A,SDG CHART,SDG
191,,INTANGIBLE ASSETS,A,SDG CHART,SDG
192,,ACCUMULATED AMORTIZATION,A,SDG CHART,SDG
193,,OTHER LONG TERM ASSETS,A,SDG CHART,SDG
193,5,GOODWILL,A,SDG CHART,SDG
193,10,COVENANT NOT TO COMPETE,A,SDG CHART,SDG
193,15,ACCUM-AMORTIZATION-COVENANT,A,SDG CHART,SDG
193,20,LICENSE,A,SDG CHART,SDG
194,,UNITS REC S.C.,A,SDG CHART,SDG
195,,UNITS USING,A,SDG CHART,SDG
198,,TOTAL LONG TERM ASSETS,T,SDG CHART,SDG
199,,TOTAL ASSETS,T,SDG CHART,SDG
200,,LIABILITIES & OWNERS EQUITY,H,SDG CHART,SDG
201,,LIABILITIES,H,SDG CHART,SDG
202,,CURRENT LIABILITIES,H,SDG CHART,SDG
203,,ACCOUNTS PAYABLE,A,SDG CHART,SDG
204,,ACCOUNTS PAYABLE-COMPUTER,A,SDG CHART,SDG
205,,ACCTS PAY-A/P COMPUTER ACCRUAL,A,SDG CHART,SDG
206,,SHORT TERM CONTRACTS & NT PAY,A,SDG CHART,SDG
206,100,HOUSE JACKPOT LIABILITY,A,SDG CHART,SDG
206,200,PLAYERS BANK LIABILITY,A,SDG CHART,SDG
206,300,QPS BANK LIABILITY,A,SDG CHART,SDG
207,,ST CONTRACTS PAY - LEDGER,A,SDG CHART,SDG
210,,INTEREST PAYABLE,A,SDG CHART,SDG
215,,ACCRUED PAYROLL,A,SDG CHART,SDG
217,,ACCRUED TAXES-FICA,A,SDG CHART,SDG
218,,ACCRUED TAXES-FED,A,SDG CHART,SDG
219,,ACCRUED TAXES-STATE,A,SDG CHART,SDG
220,,ACCRUED TAXES-FUTA & SUTA,A,SDG CHART,SDG
221,,ACCRUED TAXES-WORKMANS COMP,A,SDG CHART,SDG
222,,ACCRUED PROPERTY TAXES,A,SDG CHART,SDG
227,,ACCRUED SALES TAXES,A,SDG CHART,SDG
246,,UNEARNED REVENUE,A,SDG CHART,SDG
246,8,DEPOSITS-TOURNAMENTS,A,SDG CHART,SDG
246,2,PREPAID RENT,A,SDG CHART,SDG
248,,OTHER CURRENT LIABILITIES,A,SDG CHART,SDG
249,,TOTAL CURRENT LIABILITIES,T,SDG CHART,SDG
250,,LONG TERM LIABILITIES,H,SDG CHART,SDG
270,,LONG TERM CONTRACTS & NT PAY,A,SDG CHART,SDG
275,,LONG TERM LOANS,A,SDG CHART,SDG
284,,LIABILITIES IN EXCESS OF ASSET,A,SDG CHART,SDG
285,,UNITS PAY S.C.,A,SDG CHART,SDG
290,,TOTAL LONG TERM LIABILITIES,T,SDG CHART,SDG
299,,TOTAL LIABILITIES,T,SDG CHART,SDG
300,,STOCKHOLDERS EQUITY,H,SDG CHART,SDG
301,,CAPITAL STOCK,A,SDG CHART,SDG
320,,PAID IN CAP. IN EXCESS OF PAR,A,SDG CHART,SDG
335,,DEBTS NOT COVERED,A,SDG CHART,SDG
340,,BEGINNING RETAINED EARNINGS,A,SDG CHART,SDG
350,,RETAINED EARNINGS,A,SDG CHART,SDG
398,,TOTAL OWNERS EQUITY,T,SDG CHART,SDG
399,,TOT. LIAB. & OWNERSS EQUITY,T,SDG CHART,SDG
400,,INCOME STATEMENT,H,SDG CHART,SDG
402,,REVENUE,H,SDG CHART,SDG
404,,**,H,SDG CHART,SDG
405,,SALES,H,SDG CHART,SDG
405,2,POKER REVENUE,A,SDG CHART,SDG
405,3,PAN REVENUE,A,SDG CHART,SDG
405,4,DEALER POKER,A,SDG CHART,SDG
405,11,ROOM CHARGES,A,SDG CHART,SDG
405,12,TELEPHONE,A,SDG CHART,SDG
405,13,MISC MOTEL 1,A,SDG CHART,SDG
405,50,TOURN COLLECTIONS,A,SDG CHART,SDG
405,51,INTEREST EARNED,A,SDG CHART,SDG
405,52,TOURNAMENT BUY IN,A,SDG CHART,SDG
405,53,TOURNAMENT PRIZES,A,SDG CHART,SDG
405,54,TOURNAMENT LODGING,A,SDG CHART,SDG
405,55,TOURNAMENT FOOD,A,SDG CHART,SDG
405,56,TOURNAMENT BEVERAGES,A,SDG CHART,SDG
405,58,TOURNAMENT FEES TRAVEL OTHER,A,SDG CHART,SDG
405,70,HOTEL INCOME,A,SDG CHART,SDG
405,75,POKER GAMES INCOME,A,SDG CHART,SDG
405,76,BJ GAMES INCOME,A,SDG CHART,SDG
405,77,PAIGOW INCOME,A,SDG CHART,SDG
405,80,GAMES INCOME,A,SDG CHART,SDG
405,81,CALIFORNIA GAME INCOME,A,SDG CHART,SDG
