account_number,sub_account_number,account_description,account_type,category_name,category_abbreviation
0,,SUSPENSE ACCOUNT,A,SERVICE CO CHART,SERV
100,,ASSETS,H,SERVICE CO CHART,SERV
101,,CURRENT ASSETS,H,SERVICE CO CHART,SERV
102,,BANK CASH,A,SERVICE CO CHART,SERV
102,5,PETTY CASH,A,SERVICE CO CHART,SERV
108,,SHORT TERM CONTRACTS & NT REC,A,SERVICE CO CHART,SERV
109,,ST CONTRACTS REC - LEDGER,A,SERVICE CO CHART,SERV
111,,ACCOUNTS RECEIVABLE,A,SERVICE CO CHART,SERV
112,,ACCOUNTS RECEIVABLE,A,SERVICE CO CHART,SERV
113,,ALLOWANCE FOR DOUBTFUL A/R,A,SERVICE CO CHART,SERV
115,,INTEREST RECEIVABLE,A,SERVICE CO CHART,SERV
118,,RESALE INVENTORY,A,SERVICE CO CHART,SERV
118,10,MATERIALS INVENTORY,A,SERVICE CO CHART,SERV
118,20,MILEAGE INVENTORY,A,SERVICE CO CHART,SERV
118,200,SUBCONTRACTOR WORK,A,SERVICE CO CHART,SERV
118,410,RESALE INVENTORY - GAS,A,SERVICE CO CHART,SERV
118,420,RESALE INVENTORY - DIESEL,A,SERVICE CO CHART,SERV
118,110,RESALE INVENTORY - GROCERIES,A,SERVICE CO CHART,SERV
119,,RESALE PARTS,A,SERVICE CO CHART,SERV
119,5,RESALE PARTS - OIL,A,SERVICE CO CHART,SERV
120,,RESALE EQUIPMENT,A,SERVICE CO CHART,SERV
125,,SUPPLIES,A,SERVICE CO CHART,SERV
125,10,DUMPSTER SUPPLIES,A,SERVICE CO CHART,SERV
125,3,SUPPLIES,A,SERVICE CO CHART,SERV
125,30,FABRICATED ROLLER PARTS,A,SERVICE CO CHART,SERV
125,35,PURCHASED ROLLER PARTS,A,SERVICE CO CHART,SERV
125,10,SUPPLIES,A,SERVICE CO CHART,SERV
125,410,BIOFUEL OIL,A,SERVICE CO CHART,SERV
125,420,BIOFUEL KANOLA,A,SERVICE CO CHART,SERV
125,430,BIOFUEL SOY,A,SERVICE CO CHART,SERV
136,,PREPAID RENT,A,SERVICE CO CHART,SERV
138,,PREPAID INSURANCE,A,SERVICE CO CHART,SERV
143,,UNCLEARED CHECK ACCRUAL,A,SERVICE CO CHART,SERV
143,5,REGISTERS,A,SERVICE CO CHART,SERV
144,,REGISTER BALANCE,A,SERVICE CO CHART,SERV
144,100,ISSUED VOUCHERS,A,SERVICE CO CHART,SERV
145,,AR INC. TO DATE,A,SERVICE CO CHART,SERV
146,,CASH IN BANK ACCOUNTS,A,SERVICE CO CHART,SERV
147,,CASH IN TRUST ACCOUNTS,A,SERVICE CO CHART,SERV
148,,OTHER CURRENT ASSETS,A,SERVICE CO CHART,SERV
148,31,PREPAID LANDFILL,A,SERVICE CO CHART,SERV
149,,TOTAL CURRENT ASSETS,T,SERVICE CO CHART,SERV
150,,LONG TERM ASSETS,H,SERVICE CO CHART,SERV
151,,LONG TERM CONTRACTS & NTS REC,A,SERVICE CO CHART,SERV
153,,INTERNAL INVESTMENTS,A,SERVICE CO CHART,SERV
154,,OTHER LONG TERM INVESTMENTS,A,SERVICE CO CHART,SERV
155,,LONG TERM LOANS,A,SERVICE CO CHART,SERV
157,,VEHICLES,A,SERVICE CO CHART,SERV
157,100,VEHICLES-JET SKI TRAILER,A,SERVICE CO CHART,SERV
157,400,BIOFUEL VEHICLES,A,SERVICE CO CHART,SERV
157,401,BIOFUEL BOX VAN,A,SERVICE CO CHART,SERV
157,402,BIOFUEL REACTOR 2,A,SERVICE CO CHART,SERV
158,,ACCUM DEPRECIATION VEHICLES,A,SERVICE CO CHART,SERV
158,100,ACCUM DEPR-JET SKI TRAILER,A,SERVICE CO CHART,SERV
159,,PARTS,A,SERVICE CO CHART,SERV
160,,ACCUM DEP PARTS,A,SERVICE CO CHART,SERV
161,,EQUIPMENT,A,SERVICE CO CHART,SERV
161,10,DUMPSTERS,A,SERVICE CO CHART,SERV
161,20,AUTOMATED CANS,A,SERVICE CO CHART,SERV
161,40,CUTTING TOOLS,A,SERVICE CO CHART,SERV
161,50,TOOLING AND JIGS,A,SERVICE CO CHART,SERV
161,10,TOOLS,A,SERVICE CO CHART,SERV
161,100,EQUIPMENT-RADIO REPEATER,A,SERVICE CO CHART,SERV
161,120,JET SKI 1996 SET #1,A,SERVICE CO CHART,SERV
161,130,JET SKI 1997 SET #2,A,SERVICE CO CHART,SERV
161,140,JET SKIS 1998 SET #3,A,SERVICE CO CHART,SERV
161,150,JET SKIS 1998 SINGLE 2 SEATER,A,SERVICE CO CHART,SERV
161,200,EQUIPMENT-TIRES,A,SERVICE CO CHART,SERV
161,100,SHOP TOOLS,A,SERVICE CO CHART,SERV
161,110,MECHANIC TOOL SETS,A,SERVICE CO CHART,SERV
161,200,JET SKIS,A,SERVICE CO CHART,SERV
161,300,WIND EQUIPMENT,A,SERVICE CO CHART,SERV
161,301,MET TOWER #1,A,SERVICE CO CHART,SERV
161,310,SODAR #1,A,SERVICE CO CHART,SERV
161,311,WIND POWER TRAILER,A,SERVICE CO CHART,SERV
161,400,BIOFUEL EQUIPMENT,A,SERVICE CO CHART,SERV
161,401,BIOFUEL REACTOR 1,A,SERVICE CO CHART,SERV
161,402,BIOFUEL REACTOR 2,A,SERVICE CO CHART,SERV
161,403,BIOFUEL CENTRIFUGE 1,A,SERVICE CO CHART,SERV
161,404,BIOFUEL CENTRIFUGE 2,A,SERVICE CO CHART,SERV
161,405,BIOFUEL CATALYTIC REACTOR,A,SERVICE CO CHART,SERV
161,409,BIOFUEL DRYWASH 1,A,SERVICE CO CHART,SERV
161,411,BIOFUEL PLUMBING,A,SERVICE CO CHART,SERV
161,412,BIOFUEL INSTREMENTATION,A,SERVICE CO CHART,SERV
161,413,SAFETY PROGRAM,A,SERVICE CO CHART,SERV
162,,ACCUM DEPRECIATION EQUIPMENT,A,SERVICE CO CHART,SERV
162,10,ACCUM DEPR DUMPSTERS,A,SERVICE CO CHART,SERV
162,20,ACCUM DEPR AUTOMATED CANS,A,SERVICE CO CHART,SERV
162,120,ACCUM DEPR-JET SKI 1996 SET #1,A,SERVICE CO CHART,SERV
162,130,ACCUM DEPR-JET SKI 1997 SET #2,A,SERVICE CO CHART,SERV
162,140,ACCUM DEPR JET SKIS 98 SET #3,A,SERVICE CO CHART,SERV
162,150,ACCUM DEPR 98 SINGLE 2 SEATER,A,SERVICE CO CHART,SERV
162,100,ACCUM DEPR SHOP TOOLS,A,SERVICE CO CHART,SERV
162,200,JET SKIS,A,SERVICE CO CHART,SERV
163,,COMPUTER HARDWARE,A,SERVICE CO CHART,SERV
163,400,BIOFUEL COMPUTER HARDWARE,A,SERVICE CO CHART,SERV
164,,ACCUM DEPR COMPUTER HARDWARE,A,SERVICE CO CHART,SERV
165,,COMPUTER SOFTWARE,A,SERVICE CO CHART,SERV
165,100,QUICK BOOKS,A,SERVICE CO CHART,SERV
166,,ACCUM DEPR COMPUTER SOFTWARE,A,SERVICE CO CHART,SERV
167,,FURNITURE & FIXTURES,A,SERVICE CO CHART,SERV
168,,ACCUM DEPR FURNITURE & FIXTURE,A,SERVICE CO CHART,SERV
170,,IMPROVEMENTS,A,SERVICE CO CHART,SERV
171,,ACCUM DEP IMPROVEMENTS,A,SERVICE CO CHART,SERV
174,,BUILDINGS,A,SERVICE CO CHART,SERV
174,1,TANK FARM,A,SERVICE CO CHART,SERV
191,,INTANGIBLE ASSETS,A,SERVICE CO CHART,SERV
192,,ACCUMULATED AMORTIZATION,A,SERVICE CO CHART,SERV
194,,UNITS REC S.C.,A,SERVICE CO CHART,SERV
195,,UNITS USING,A,SERVICE CO CHART,SERV
198,,TOTAL LONG TERM ASSETS,T,SERVICE CO CHART,SERV
199,,TOTAL ASSETS,T,SERVICE CO CHART,SERV
200,,LIABILITIES & OWNERS EQUITY,H,SERVICE CO CHART,SERV
201,,LIABILITIES,H,SERVICE CO CHART,SERV
202,,CURRENT LIABILITIES,H,SERVICE CO CHART,SERV
203,,ACCOUNTS PAYABLE,A,SERVICE CO CHART,SERV
203,100,MATERIALS AP,A,SERVICE CO CHART,SERV
203,20,MILEAGE AP,A,SERVICE CO CHART,SERV
