account_number,sub_account_number,account_description,account_type,category_name,category_abbreviation
0,,SUSPENSE ACCOUNT,A,STANDARD CHART,STAN
100,,ASSETS,H,STANDARD CHART,STAN
101,,CURRENT ASSETS,H,STANDARD CHART,STAN
102,,BANK CASH,A,STANDARD CHART,STAN
103,,MARKETABLE SECURITIES,A,STANDARD CHART,STAN
108,,SHORT TERM CONTRACTS & NT REC,A,STANDARD CHART,STAN
109,,ST CONTRACTS REC - LEDGER,A,STANDARD CHART,STAN
111,,ACCOUNTS RECEIVABLE,A,STANDARD CHART,STAN
111,5,REBATES RECEIVABLE,A,STANDARD CHART,STAN
112,,ACCOUNTS RECEIVABLE,A,STANDARD CHART,STAN
113,,ALLOWANCE FOR DOUBTFUL A/R,A,STANDARD CHART,STAN
115,,INTEREST RECEIVABLE,A,STANDARD CHART,STAN
118,,RESALE INVENTORY,A,STANDARD CHART,STAN
118,100,INVENTORY FREIGHT,A,STANDARD CHART,STAN
118,200,ALLOW FOR OBSOLETTE INVENTORY,A,STANDARD CHART,STAN
118,300,VARIANCE FROM PERPETUAL,A,STANDARD CHART,STAN
118,400,INV NOT PICKED UP,A,STANDARD CHART,STAN
119,,RESALE PARTS,A,STANDARD CHART,STAN
120,,RESALE EQUIPMENT,A,STANDARD CHART,STAN
121,,INVENTORY CONTRA ACCOUNT,A,STANDARD CHART,STAN
121,1,ADVERTISING DISCOUNT,A,STANDARD CHART,STAN
121,2,CHAIN DISCOUNT,A,STANDARD CHART,STAN
121,3,FREIGHT ALLOWANCE,A,STANDARD CHART,STAN
121,4,LIBBYWARE REBATE,A,STANDARD CHART,STAN
122,,MATERIALS,A,STANDARD CHART,STAN
125,,SUPPLIES,A,STANDARD CHART,STAN
132,,GOATS,A,STANDARD CHART,STAN
134,,PREPAID FUEL,A,STANDARD CHART,STAN
136,,PREPAID RENT,A,STANDARD CHART,STAN
138,,PREPAID INSURANCE,A,STANDARD CHART,STAN
140,,PREPAID TAXES,A,STANDARD CHART,STAN
143,,UNCLEARED CHECK ACCRUAL,A,STANDARD CHART,STAN
143,5,REGISTERS,A,STANDARD CHART,STAN
144,,REGISTER BALANCE,A,STANDARD CHART,STAN
144,100,ISSUED VOUCHERS,A,STANDARD CHART,STAN
145,,AR INC. TO DATE,A,STANDARD CHART,STAN
146,,CASH IN BANK ACCOUNTS,A,STANDARD CHART,STAN
147,,CASH IN TRUST ACCOUNTS,A,STANDARD CHART,STAN
148,,OTHER CURRENT ASSETS,A,STANDARD CHART,STAN
148,100,REFUNDABLE DEPOSITS,A,STANDARD CHART,STAN
148,200,LETTERS OF CREDIT DEPOSIT,A,STANDARD CHART,STAN
149,,TOTAL CURRENT ASSETS,T,STANDARD CHART,STAN
150,,LONG TERM ASSETS,H,STANDARD CHART,STAN
151,,LONG TERM CONTRACTS & NTS REC,A,STANDARD CHART,STAN
153,,INTERNAL INVESTMENTS,A,STANDARD CHART,STAN
155,,LONG TERM LOANS,A,STANDARD CHART,STAN
157,,VEHICLES,A,STANDARD CHART,STAN
158,,ACCUM DEPRECIATION VEHICLES,A,STANDARD CHART,STAN
159,,PARTS,A,STANDARD CHART,STAN
160,,ACCUM DEP PARTS,A,STANDARD CHART,STAN
161,,EQUIPMENT,A,STANDARD CHART,STAN
161,3000,LEASED EQUPMENT,A,STANDARD CHART,STAN
162,,ACCUM DEPRECIATION EQUIPMENT,A,STANDARD CHART,STAN
162,3000,ACCUM DEPR LEASED EQUIPMENT,A,STANDARD CHART,STAN
163,,COMPUTER HARDWARE,A,STANDARD CHART,STAN
164,,ACCUM DEPR COMPUTER HARDWARE,A,STANDARD CHART,STAN
165,,COMPUTER SOFTWARE,A,STANDARD CHART,STAN
166,,ACCUM DEPR COMPUTER SOFTWARE,A,STANDARD CHART,STAN
167,,FURNITURE & FIXTURES,A,STANDARD CHART,STAN
167,100,SIGN,A,STANDARD CHART,STAN
167,200,HOUSE FURNISHINGS,A,STANDARD CHART,STAN
168,,ACCUM DEPR FURNITURE & FIXTURE,A,STANDARD CHART,STAN
170,,IMPROVEMENTS,A,STANDARD CHART,STAN
171,,ACCUM DEP IMPROVEMENTS,A,STANDARD CHART,STAN
174,,BUILDINGS,A,STANDARD CHART,STAN
175,,ACCUM DEPRECIATION BUILDINGS,A,STANDARD CHART,STAN
190,,LAND,A,STANDARD CHART,STAN
193,,OTHER LONG TERM ASSETS,A,STANDARD CHART,STAN
193,15,OTHER LONG TERM ASSETS,A,STANDARD CHART,STAN
194,,UNITS REC S.C.,A,STANDARD CHART,STAN
195,,UNITS USING,A,STANDARD CHART,STAN
198,,TOTAL LONG TERM ASSETS,T,STANDARD CHART,STAN
199,,TOTAL ASSETS,T,STANDARD CHART,STAN
200,,LIABILITIES & OWNERS EQUITY,H,STANDARD CHART,STAN
201,,LIABILITIES,H,STANDARD CHART,STAN
202,,CURRENT LIABILITIES,H,STANDARD CHART,STAN
203,,ACCOUNTS PAYABLE,A,STANDARD CHART,STAN
204,,ACCOUNTS PAYABLE-COMPUTER,A,STANDARD CHART,STAN
205,,ACCTS PAY-A/P COMPUTER ACCRUAL,A,STANDARD CHART,STAN
206,,SHORT TERM CONTRACTS & NT PAY,A,STANDARD CHART,STAN
207,,ST CONTRACTS PAY - LEDGER,A,STANDARD CHART,STAN
210,,INTEREST PAYABLE,A,STANDARD CHART,STAN
215,,ACCRUED PAYROLL,A,STANDARD CHART,STAN
217,,ACCRUED TAXES-FICA,A,STANDARD CHART,STAN
218,,ACCRUED TAXES-FED,A,STANDARD CHART,STAN
219,,ACCRUED TAXES-STATE,A,STANDARD CHART,STAN
220,,ACCRUED TAXES-FUTA & SUTA,A,STANDARD CHART,STAN
221,,ACCRUED TAXES-WORKMANS COMP,A,STANDARD CHART,STAN
222,,ACCRUED PROPERTY TAXES,A,STANDARD CHART,STAN
227,,ACCRUED SALES TAXES,A,STANDARD CHART,STAN
246,,UNEARNED REVENUE,A,STANDARD CHART,STAN
248,,OTHER CURRENT LIABILITIES,A,STANDARD CHART,STAN
248,100,INVENTORY ADJUSTMENT ACCOUNT,A,STANDARD CHART,STAN
249,,TOTAL CURRENT LIABILITIES,T,STANDARD CHART,STAN
250,,LONG TERM LIABILITIES,H,STANDARD CHART,STAN
270,,LONG TERM CONTRACTS & NT PAY,A,STANDARD CHART,STAN
275,,LONG TERM LOANS,A,STANDARD CHART,STAN
276,,OTHER LONG TERM NOTES PAYABLE,A,STANDARD CHART,STAN
285,,UNITS PAY S.C.,A,STANDARD CHART,STAN
290,,TOTAL LONG TERM LIABILITIES,T,STANDARD CHART,STAN
299,,TOTAL LIABILITIES,T,STANDARD CHART,STAN
300,,STOCKHOLDERS EQUITY,H,STANDARD CHART,STAN
301,,CAPITAL STOCK,A,STANDARD CHART,STAN
310,,PREFERRED STOCK,A,STANDARD CHART,STAN
320,,PAID IN CAP. IN EXCESS OF PAR,A,STANDARD CHART,STAN
335,,DEBTS NOT COVERED,A,STANDARD CHART,STAN
340,,BEGINNING RETAINED EARNINGS,A,STANDARD CHART,STAN
350,,RETAINED EARNINGS,A,STANDARD CHART,STAN
398,,TOTAL OWNERS EQUITY,T,STANDARD CHART,STAN
399,,TOT. LIAB. & OWNERSS EQUITY,T,STANDARD CHART,STAN
400,,INCOME STATEMENT,H,STANDARD CHART,STAN
402,,REVENUE,H,STANDARD CHART,STAN
404,,**,H,STANDARD CHART,STAN
405,,SALES,H,STANDARD CHART,STAN
405,100,SS SALES,A,STANDARD CHART,STAN
405,250,USED EQUIP SALES,A,STANDARD CHART,STAN
405,350,SALES MILK,A,STANDARD CHART,STAN
405,600,PARTS SALES,A,STANDARD CHART,STAN
405,700,SERVICE SALES,A,STANDARD CHART,STAN
405,1000,FOOD SALES,A,STANDARD CHART,STAN
405,2000,WEDDING RENTAL SALES,A,STANDARD CHART,STAN
405,3000,LEASES,A,STANDARD CHART,STAN
405,4444,JANITORIAL SALES,A,STANDARD CHART,STAN
420,,OTHER SALES,A,STANDARD CHART,STAN
421,,WAGE MDSE REVENUE,A,STANDARD CHART,STAN
422,,RETURNS & ALLOWANCES,A,STANDARD CHART,STAN
