account_number,sub_account_number,account_description,account_type,category_name,category_abbreviation
0,,SUSPENSE ACCOUNT,A,TAX CHART,TAX
100,,ASSETS,H,TAX CHART,TAX
101,,CURRENT ASSETS,H,TAX CHART,TAX
102,,BANK CASH,A,TAX CHART,TAX
102,10,CAFETERIA PLAN,A,TAX CHART,TAX
102,20,OTHER DEPOSIT CLEARING,A,TAX CHART,TAX
102,30,BILL CHANGERS INVENTORY,A,TAX CHART,TAX
102,40,CASH INVESTMENT ACT,A,TAX CHART,TAX
102,5,CASH AT MTN AMERICA,A,TAX CHART,TAX
102,50,COIN MECH CHANGERS,A,TAX CHART,TAX
102,60,REFUND MONEY,A,TAX CHART,TAX
102,7,PETTY CASH,A,TAX CHART,TAX
103,,MARKETABLE SECURITIES,A,TAX CHART,TAX
108,,SHORT TERM CONTRACTS & NT REC,A,TAX CHART,TAX
109,,ST CONTRACTS REC - LEDGER,A,TAX CHART,TAX
110,,LEDGER ACCTS REC,A,TAX CHART,TAX
111,,ACCOUNTS RECEIVABLE,A,TAX CHART,TAX
111,100,BAD CK RECEIVABLE,A,TAX CHART,TAX
111,5,REBATES RECEIVABLE,A,TAX CHART,TAX
112,,ACCOUNTS RECEIVABLE,A,TAX CHART,TAX
113,,ALLOWANCE FOR DOUBTFUL A/R,A,TAX CHART,TAX
113,100,ALLOWANCE FOR BAD DEBTS,A,TAX CHART,TAX
115,,INTEREST RECEIVABLE,A,TAX CHART,TAX
118,,RESALE INVENTORY,A,TAX CHART,TAX
118,2,RESALE INVENTORY IS,A,TAX CHART,TAX
118,100,RESALE INVENTORY,A,TAX CHART,TAX
118,200,RESALE INVENTORY,A,TAX CHART,TAX
118,400,RESALE INV-GAS,A,TAX CHART,TAX
118,600,RESALE INV-WOOD,A,TAX CHART,TAX
118,10,RESALE INVENTORY - BIG COOKIE,A,TAX CHART,TAX
118,100,RESALE INVENTORY - PASTRY,A,TAX CHART,TAX
118,1000,RESALE INVENTORY,A,TAX CHART,TAX
118,110,RESALE INVENTORY - SODA BOTTL,A,TAX CHART,TAX
118,1100,RESALE-PRODUCT VAN,A,TAX CHART,TAX
118,112,RESALE INVENTORY SODA CANS,A,TAX CHART,TAX
118,120,RESALE INVENTORY - SOUP,A,TAX CHART,TAX
118,1200,RESALE=PRODUCT WHSE,A,TAX CHART,TAX
118,130,RESALE INVENTORY JUICE BOTTLE,A,TAX CHART,TAX
118,132,RESALE INVENTORY JUICE CANS,A,TAX CHART,TAX
118,140,RESALE INVENTORY SUNDRIES,A,TAX CHART,TAX
118,20,RESALE INVENTORY - CANDY,A,TAX CHART,TAX
118,22,RESALE INVENTORY CANDY BAGGED,A,TAX CHART,TAX
118,24,RESALE INVENTORY POPCORN,A,TAX CHART,TAX
118,30,RESALE INVENTORY - CHIPS LSS,A,TAX CHART,TAX
118,32,RESALE INVENTORY CHIPS SMALL,A,TAX CHART,TAX
118,40,RESALE INVENTORY - COFFEE,A,TAX CHART,TAX
118,50,RESALE INVENTORY - COLD CUPS,A,TAX CHART,TAX
118,60,RESALE INVENTORY - FOOD SANDW,A,TAX CHART,TAX
118,62,RESALE INVENTORY FOOD FROZEN,A,TAX CHART,TAX
118,70,RESALE INVENTORY - GUM & MINT,A,TAX CHART,TAX
118,80,RESALE INVENTORY - ICECREAM,A,TAX CHART,TAX
118,90,RESALE INVENTORY - MILK CTNS,A,TAX CHART,TAX
118,92,RESALE INVENTORY MILK CHUGS,A,TAX CHART,TAX
119,,RESALE PARTS,A,TAX CHART,TAX
119,1,RESALE FREIGHT,A,TAX CHART,TAX
119,2,RESALE FREIGHT IS,A,TAX CHART,TAX
119,300,NINTNEDO SERVICE CENTER,A,TAX CHART,TAX
119,400,RESALE KITS,A,TAX CHART,TAX
119,700,RESALE RECORDS,A,TAX CHART,TAX
119,5,RESALE PARTS-OIL,A,TAX CHART,TAX
120,,RESALE EQUIPMENT,A,TAX CHART,TAX
120,1,RESALE SUPPLIES,A,TAX CHART,TAX
120,2,RESALE SUPPLIES IS,A,TAX CHART,TAX
120,200,USED EQUIPMENT,A,TAX CHART,TAX
120,950,HORSE EQUIP FOR RESALE,A,TAX CHART,TAX
121,1,ADVERTISING DISCOUNT,A,TAX CHART,TAX
121,3,FREIGHT ALLOWANCE,A,TAX CHART,TAX
122,,MATERIALS,A,TAX CHART,TAX
122,190,MATERIALS & EQUIP PROP UPKEEP,A,TAX CHART,TAX
122,535,MATERIALS & EQUIP VEHICLE UPKP,A,TAX CHART,TAX
122,625,MATERIALS & EQUIP PIP & PLBG,A,TAX CHART,TAX
125,,SUPPLIES,A,TAX CHART,TAX
125,10,TRAN-INTRA COMPANY,A,TAX CHART,TAX
125,20,TRAN-INTRA COMPANY,A,TAX CHART,TAX
125,3,SUPPLIES,A,TAX CHART,TAX
125,30,TRAN-INTRA COMPANY,A,TAX CHART,TAX
125,10,SUPPLIES,A,TAX CHART,TAX
125,200,SUPPLIES HAY & FEED,A,TAX CHART,TAX
125,400,SUPPLIES GAS & DIESEL,A,TAX CHART,TAX
125,571,SUPPLIES EQUIP MAINTENANCE,A,TAX CHART,TAX
125,625,SUPPLIES PIP & PLBG,A,TAX CHART,TAX
125,697,"SUPPLIES FERTILIZER, ETC",A,TAX CHART,TAX
125,699,SUPPLIES VETERINARY,A,TAX CHART,TAX
125,900,SUPPLIES FOR COWS,A,TAX CHART,TAX
126,,PIGS & HOGS FARM,A,TAX CHART,TAX
127,,BIRDS CHICKENS & TURKEYS,A,TAX CHART,TAX
127,10,OSTRICHES,A,TAX CHART,TAX
127,100,CHICKEN PROCESSING EQUIP,A,TAX CHART,TAX
128,,HAY & FEED INVENTORY,A,TAX CHART,TAX
129,,"CALVES, COWS & BULLS",A,TAX CHART,TAX
129,10,COWS,A,TAX CHART,TAX
129,12,"CALVES, COWS & BULLS",A,TAX CHART,TAX
129,15,"CALVES, COWS & BULLS",A,TAX CHART,TAX
129,150,CATTLE,A,TAX CHART,TAX
129,20,CATTLE,A,TAX CHART,TAX
129,30,"CALVES, COWS & BULLS",A,TAX CHART,TAX
129,40,CATTLE,A,TAX CHART,TAX
129,45,CATTLE,A,TAX CHART,TAX
129,50,CATTLE,A,TAX CHART,TAX
129,55,"CALVES, COWS & BULLS",A,TAX CHART,TAX
129,60,CATTLE,A,TAX CHART,TAX
129,65,"CALVES, COWS & BULLS",A,TAX CHART,TAX
129,70,CATTLE,A,TAX CHART,TAX
129,80,CATTLE,A,TAX CHART,TAX
129,100,CATTLE SEMEN,A,TAX CHART,TAX
129,210,"CALVES, COWS & BULLS",A,TAX CHART,TAX
129,220,"CALVES, COWS & BULLS",A,TAX CHART,TAX
130,,HORSES,A,TAX CHART,TAX
131,,SHEEP FARM,A,TAX CHART,TAX
132,,GOATS,A,TAX CHART,TAX
134,,PREPAID ROYALTIES,A,TAX CHART,TAX
136,,PREPAID RENT,A,TAX CHART,TAX
138,,PREPAID INSURANCE,A,TAX CHART,TAX
140,,PREPAID TAXES,A,TAX CHART,TAX
142,,OTHER PREPAID ASSETS,A,TAX CHART,TAX
143,,UNCLEARED CHECK ACCRUAL,A,TAX CHART,TAX
143,5,REGISTERS,A,TAX CHART,TAX
144,,REGISTER BALANCE,A,TAX CHART,TAX
144,100,ISSUED VOUCHERS,A,TAX CHART,TAX
145,,AR INC. TO DATE,A,TAX CHART,TAX
146,,CASH IN BANK ACCOUNTS,A,TAX CHART,TAX
147,,CASH IN TRUST ACCOUNTS,A,TAX CHART,TAX
148,,OTHER CURRENT ASSETS,A,TAX CHART,TAX
148,100,REFUNDABLE DEPOSITS,A,TAX CHART,TAX
148,200,LETTERS OF CREDIT DEPOSIT,A,TAX CHART,TAX
149,,TOTAL CURRENT ASSETS,T,TAX CHART,TAX
