account_number,sub_account_number,account_description,account_type,category_name,category_abbreviation
0,,SUSPENSE ACCOUNT,A,WHOLESALE CHART,WHLSLE
100,,ASSETS,H,WHOLESALE CHART,WHLSLE
101,,CURRENT ASSETS,H,WHOLESALE CHART,WHLSLE
102,,BANK CASH,A,WHOLESALE CHART,WHLSLE
102,7,PETTY CASH,A,WHOLESALE CHART,WHLSLE
108,,SHORT TERM CONTRACTS & NT REC,A,WHOLESALE CHART,WHLSLE
109,,ST CONTRACTS REC - LEDGER,A,WHOLESALE CHART,WHLSLE
111,,ACCOUNTS RECEIVABLE,A,WHOLESALE CHART,WHLSLE
112,,ACCOUNTS RECEIVABLE,A,WHOLESALE CHART,WHLSLE
113,,ALLOWANCE FOR DOUBTFUL A/R,A,WHOLESALE CHART,WHLSLE
115,,INTEREST RECEIVABLE,A,WHOLESALE CHART,WHLSLE
118,,RESALE INVENTORY,A,WHOLESALE CHART,WHLSLE
118,1,RESALE INVENTORY,A,WHOLESALE CHART,WHLSLE
118,2,RESALE INVENTORY IS,A,WHOLESALE CHART,WHLSLE
118,1,RESALE INVENTORY DISCOUNTS,A,WHOLESALE CHART,WHLSLE
118,1000,RESALE INV-REP LINE,A,WHOLESALE CHART,WHLSLE
119,,RESALE PARTS,A,WHOLESALE CHART,WHLSLE
119,1,RESALE FREIGHT,A,WHOLESALE CHART,WHLSLE
119,2,RESALE FREIGHT IS,A,WHOLESALE CHART,WHLSLE
120,,RESALE EQUIPMENT,A,WHOLESALE CHART,WHLSLE
120,1,RESALE SUPPLIES,A,WHOLESALE CHART,WHLSLE
120,2,RESALE SUPPLIES IS,A,WHOLESALE CHART,WHLSLE
122,,MATERIALS,A,WHOLESALE CHART,WHLSLE
125,,SUPPLIES,A,WHOLESALE CHART,WHLSLE
125,10,STEEL,A,WHOLESALE CHART,WHLSLE
125,20,DUMPSTER SUPPLIES,A,WHOLESALE CHART,WHLSLE
125,30,TRUCK SUPPLIES,A,WHOLESALE CHART,WHLSLE
125,35,PURCHASED ROLLER PARTS,A,WHOLESALE CHART,WHLSLE
125,40,FABRICATED ROLLER PARTS,A,WHOLESALE CHART,WHLSLE
125,50,SPARE LONGWALL PARTS,A,WHOLESALE CHART,WHLSLE
125,401,FEEDSTOCK OIL,A,WHOLESALE CHART,WHLSLE
125,402,METHANOL,A,WHOLESALE CHART,WHLSLE
125,403,CATALYST,A,WHOLESALE CHART,WHLSLE
125,404,USP GLYCERIN,A,WHOLESALE CHART,WHLSLE
125,405,CRUDE GLYCERIN,A,WHOLESALE CHART,WHLSLE
125,406,RINS,A,WHOLESALE CHART,WHLSLE
125,430,BIOFUEL,A,WHOLESALE CHART,WHLSLE
130,,HORSES,A,WHOLESALE CHART,WHLSLE
136,,PREPAID RENT,A,WHOLESALE CHART,WHLSLE
142,,OTHER PREPAID ASSETS,A,WHOLESALE CHART,WHLSLE
143,,UNCLEARED CHECK ACCRUAL,A,WHOLESALE CHART,WHLSLE
144,,REGISTER BALANCE,A,WHOLESALE CHART,WHLSLE
144,100,ISSUED VOUCHERS,A,WHOLESALE CHART,WHLSLE
145,,AR INC. TO DATE,A,WHOLESALE CHART,WHLSLE
146,,CASH IN BANK ACCOUNTS,A,WHOLESALE CHART,WHLSLE
147,,CASH IN TRUST ACCOUNTS,A,WHOLESALE CHART,WHLSLE
148,,OTHER CURRENT ASSETS,A,WHOLESALE CHART,WHLSLE
149,,TOTAL CURRENT ASSETS,T,WHOLESALE CHART,WHLSLE
150,,LONG TERM ASSETS,H,WHOLESALE CHART,WHLSLE
151,,LONG TERM CONTRACTS & NTS REC,A,WHOLESALE CHART,WHLSLE
153,,INTERNAL INVESTMENTS,A,WHOLESALE CHART,WHLSLE
154,,OTHER LONG TERM INVESTMENTS,A,WHOLESALE CHART,WHLSLE
155,,LONG TERM LOANS,A,WHOLESALE CHART,WHLSLE
157,,VEHICLES,A,WHOLESALE CHART,WHLSLE
157,200,VEHICLES-HOUSE TRAILERS,A,WHOLESALE CHART,WHLSLE
157,400,BIOFUEL VEHICLES,A,WHOLESALE CHART,WHLSLE
