"ubm_h_pl_id";"pl_ref";"pl_title";"pl_desc";"pl_purpose";"pl_scope_id";"pl_tp_id";"stat_id";"ubm_id";"derived_from_id";"ubm_vers_id";"ubm_obj_vers_id";"obj_vers_id";"s_id";"s_db_id";"s_usr_id";"s_ts";"m_db_id";"m_usr_id";"m_ts";"t_db_id";"t_usr_id";"t_ts";"previous_vers_id";"ubm_ref";"ubm_order_no"
1631;"PL-7";"CEO must Approve the Employee Hiring Process";"The CEO should maintain final authorization and approval of all job requisitions, candidates, and resources required.";"The CEO should maintain final authorization and approval of all job requisitions, candidates, and resources required to ensure that the best new employees are found. The wrong hire can be very expensive in terms of time and money spent, lost productivity, and worst of all, lost opportunity cost.";0;183;1;0;0;0;0;0;1631;3312;0;"2014-01-27 16:27:06.291";0;0;"";0;0;"";0;"PL";7
1524;"PL-1";"Shareholder Meetings";"The stockholders shall attend annual meetings and receive minutes of the meeting.";"To keep stockholders informed of business operations, include them in votes on important company actions, and comply with regulatory requirements for ""C corporation"" shareholder meetings.";0;183;1;0;0;0;0;0;1524;3312;0;"2014-01-24 02:00:00";3312;0;"2014-01-24 15:57:16.682";0;0;"";0;"PL";1
1576;"PL-2";"Board of Directors' Meetings";"The company shall hold regular Board of Director meetings to conduct oversight and management of the company.";"The company shall hold regular Board of Director meetings to conduct oversight and management of the company.";0;183;1;0;0;0;0;0;1576;3312;0;"2014-01-25 15:51:22.022";0;0;"";0;0;"";0;"PL";2
1577;"PL-3";"Board of Directors";"The Board of Directors must set financial and operating policies of the Company; Appointing and overseeing Company officers; and Create and serve on committees.";"The purpose is to ensure that the company is being properly managed";0;183;1;0;0;0;0;0;1577;3312;0;"2014-01-25 15:52:53.282";0;0;"";0;0;"";0;"PL";3
1578;"PL-4";"Review CEO Management Reporting Packet";"The CEO Management Reporting Packet must be fully reviewed by the 25th of the month.";"The purpose is to review all VP management reporting packets for completeness, format, and packet functionality to ensure that each VP position is doing their job accurately and in a timely manner.";0;183;1;0;0;0;0;0;1578;3312;0;"2014-01-25 15:55:36.517";0;0;"";0;0;"";0;"PL";4
1621;"PL-5";"Process Inbox as Needed";"The inbox must be processed as needed to ensure that everything in your inbox is collected and processed in a timely manner.";"The purpose of processing the inbox as needed is to ensure that everything in your inbox is collected and processed in a timely manner.";0;183;1;0;0;0;0;0;1621;3312;0;"2014-01-27 15:45:17.555";0;0;"";0;0;"";0;"PL";5
1622;"PL-6";"Clear Open Points";"Open Points must be cleared on the set date or at least every 2 weeks.";"The purpose of clearing open points on the set date or at least 2 weeks is to ensure that the open points get complete.";0;183;1;0;0;0;0;0;1622;3312;0;"2014-01-27 15:47:02.233";0;0;"";0;0;"";0;"PL";6
1623;"PL-6";"Submit Time sheets";"Employees must submit their time sheet to their manager on a biweekly bases. The Manager must then submit their departments time sheet to the CFO on a biweekly bases.";"The purpose of submitting the time sheets biweekly is to ensure that payroll gets processed every 2 weeks.";0;183;1;0;0;0;0;0;1623;3312;0;"2014-01-27 15:48:55.593";0;0;"";0;0;"";0;"PL";6
1624;"PL-7";"Complete Annual Training";"Every employee must complete training for applicable positions annually.";"Every employee must complete annual training so that they can become familiar with their positions' and the company' business model material including job descriptions, policies, procedures, etc.";0;183;1;0;0;0;0;0;1624;3312;0;"2014-01-27 16:11:14.52";0;0;"";0;0;"";0;"PL";7
1625;"PL-8";"There must be a Competent Individual Trained ";"There must be a competent individual trained to be next CEO at all times.";"There must be a competent individual trained to be the next CEO at all times to ensure that when the CEO is unable to make it into the stew";0;183;1;0;0;0;0;0;1625;3312;0;"2014-01-27 16:14:52.153";0;0;"";0;0;"";0;"PL";8
1626;"PL-9";"Review CEO Management Reporting Packet";"The CEO Management Reporting Packet must be fully reviewed by the 25th of the month.";"The purpose is to review all VP management reporting packets for completeness, format, and packet functionality to ensure that each VP position is doing their job accurately and in a timely manner.";0;183;1;0;0;0;0;0;1626;3312;0;"2014-01-27 16:17:02.687";0;0;"";0;0;"";0;"PL";9
1627;"PL-10";"All Tasks must be Scheduled for Completion";"All of the CEO tasks must be put on the task list and scheduled for completion.";"The purpose of placing all tasks on the task list and scheduling them for completion is to make sure that they get done.";0;183;1;0;0;0;0;0;1627;3312;0;"2014-01-27 16:18:23.383";0;0;"";0;0;"";0;"PL";10
1628;"PL-11";"Review Top 10 Lists Weekly or as needed";"Each positions Top 10 List must be reviewed daily.";"Each positions Top 10 List must be reviewed daily to ensure that the most important items are assigned and getting completed in a timely manner.";0;183;1;0;0;0;0;0;1628;3312;0;"2014-01-27 16:21:03.972";0;0;"";0;0;"";0;"PL";11
1629;"PL-12";"Approve Business Model Changes";"All updates, additions, and changes made to the business model must first be approved by the CEO.";"All updates, additions, and changes made to the business model must first be approved by the CEO.";0;183;1;0;0;0;0;0;1629;3312;0;"2014-01-27 16:22:08.175";0;0;"";0;0;"";0;"PL";12
1630;"PL-11";"Annual Well Stewardship Review must be Performed";"The CEO must meet with the stewardship annually to perform a annual well stewardship review.";"The purpose of meeting with the stewardship annually is to ensure that the company is alive, well, and running at an excellent level. It is also to ensure that the CEO is aware of how the company is doing. This will help the CEO determine if there are any actions or changes necessary for the stewardship to be a success.";0;183;1;0;0;0;0;0;1630;3312;0;"2014-01-27 16:24:28.497";0;0;"";0;0;"";0;"PL";11
