"ubm_h_pr_id";"pr_ref";"pr_title";"pr_purpose";"pr_scope_id";"sec_lvl_id";"pr_tp_id";"stat_id";"ubm_id";"derived_from_id";"ubm_vers_id";"ubm_obj_vers_id";"obj_vers_id";"s_id";"s_db_id";"s_usr_id";"s_ts";"m_db_id";"m_usr_id";"m_ts";"t_db_id";"t_usr_id";"t_ts";"previous_vers_id";"ubm_ref";"ubm_order_no"
1695;"PR-14";"Approve Business Model Changes";"All updates, additions, and changes made to the business model must first be approved by the CEO.";0;0;183;1;0;0;0;0;0;1695;3312;0;"2014-01-28 09:25:08.609";0;0;"";0;0;"";0;"PR";14
1698;"PR-13";"Annual Well Stewardship Review";"The purpose of meeting with the stewardship annually is to ensure that the company is alive, well, and running at an excellent level. It is also to ensure that the CEO is aware of how the company is doing. This will help the CEO determine if there are any actions or changes necessary for the stewardship to be a success.";0;0;183;1;0;0;0;0;0;1698;3312;0;"2014-01-28 09:28:58.851";0;0;"";0;0;"";0;"PR";13
1529;"PR-1";"Structure of Corporate Authority";"To keep stockholders informed of business operation, include them in votes on important company actions, and comply with regulatory requirements for ""C corporation"" shareholders meetings.";0;0;183;1;0;0;0;0;0;1529;3312;0;"2014-01-24 02:00:00";3312;0;"2014-01-24 16:02:26.59";0;0;"";0;"PR";1
1543;"PR-2";"Conducting Stockholders Meetings";"To keep stockholders informed of business operations, include them in votes on important company actions, and comply with regulatory requirements for ""C corporation"" shareholder meetings.";0;0;183;1;0;0;0;0;0;1543;3312;0;"2014-01-24 02:00:00";3312;0;"2014-01-24 16:02:26.59";0;0;"";0;"PR";2
1580;"PR-3";"Preparing for the Board of Directors' Meeting";"The Company shall hold regular Board of Director meetings to conduct oversight and management of the Company.";0;0;183;1;0;0;0;0;0;1580;3312;0;"2014-01-25 16:00:56.986";0;0;"";0;0;"";0;"PR";3
1586;"PR-4";"Board of Directors Meeting Procedures";"The Company shall hold regular Board of Director Meetings to conduct oversight and management of the Company.";0;0;183;1;0;0;0;0;0;1586;3312;0;"2014-01-25 16:17:19.857";0;0;"";0;0;"";0;"PR";4
1588;"PR-5";"Board of Directors";"The purpose is to ensure that the company is being properly managed.";0;0;183;1;0;0;0;0;0;1588;3312;0;"2014-01-25 16:23:35.337";0;0;"";0;0;"";0;"PR";5
1589;"PR-5";"Review CEO Management Reporting Packet";"The purpose is to review all VP management reporting packets for completeness, format, and packet functionality to ensure that each VP position is doing their job accurately and in a timely manner.";0;0;183;1;0;0;0;0;0;1589;3312;0;"2014-01-25 16:25:27.762";0;0;"";0;0;"";0;"PR";5
1633;"PR-6";"Process Inbox";"The purpose of processing the inbox as needed is to ensure that everything in your inbox is collected and processed in a timely manner.";0;0;183;1;0;0;0;0;0;1633;3312;0;"2014-01-27 16:30:51.835";0;0;"";0;0;"";0;"PR";6
1643;"PR-7";"Clear Open Points";"The purpose of clearing open points on the set date or at least every 2 weeks is to ensure that the open points get complete.";0;0;183;1;0;0;0;0;0;1643;3312;0;"2014-01-27 16:45:10.896";0;0;"";0;0;"";0;"PR";7
1648;"PR-8";"Complete Time Sheets";"The purpose of submitting the time sheets biweekly is to ensure that payroll gets processed every 2 weeks.";0;0;183;1;0;0;0;0;0;1648;3312;0;"2014-01-27 16:52:44.602";0;0;"";0;0;"";0;"PR";8
1653;"PR-9";"Creating Management Reporting Packets";"To properly create the management reporting packet created by UBM App ID # 1";0;0;183;1;0;0;0;0;0;1653;3312;0;"2014-01-27 17:08:49.876";0;0;"";0;0;"";0;"PR";9
1669;"PR-10";"Train Successor";"The purpose that there must be a competent individual trained to be the next CEO at all times is to ensure that when the CEO i unable to make it into the stewardship for any period of time, the CEO's job will still get done and the stewardship can continue to be a success.";0;0;183;1;0;0;0;0;0;1669;3312;0;"2014-01-27 18:04:52.953";0;0;"";0;0;"";0;"PR";10
1678;"PR-11";"Review CEO Management Reporting Packet";"The purpose is to review all VP management reporting packets for completeness, format, and packet functionality to ensure that each VP position is doing their job accurately and in a timely manner. ";0;0;183;1;0;0;0;0;0;1678;3312;0;"2014-01-28 09:07:10.27";0;0;"";0;0;"";0;"PR";11
1687;"PR-12";"Maintain Task List";"The purpose of placing tasks on the task list and scheduling them for completion is to make sure they get done.";0;0;183;1;0;0;0;0;0;1687;3312;0;"2014-01-28 09:19:09.324";0;0;"";0;0;"";0;"PR";12
1692;"PR-13";"Review Top 10 Lists for all Positions.";"Each positions Top 10 List must be reviewed daily to ensure that the most important items are assigned and getting completed in a timely manner.";0;0;183;1;0;0;0;0;0;1692;3312;0;"2014-01-28 09:22:52.496";0;0;"";0;0;"";0;"PR";13
1713;"PR-14";"Approve Employee Hiring Process";"The CEO should maintain final authorization and approval of all job requisitions, candidates, and resources, required to ensure that the best new employees are found. The wrong hire can be very expensive in terms of time and money spent, lost productivity, and worst of all, lost opportunity cost.";0;0;183;1;0;0;0;0;0;1713;3312;0;"2014-01-28 09:40:07.191";0;0;"";0;0;"";0;"PR";14
1715;"PR-14";"Ensure Company Well Being";"The purpose is to ensure the overall well-being of the company.";0;0;183;1;0;0;0;0;0;1715;3312;0;"2014-01-28 09:42:11.656";0;0;"";0;0;"";0;"PR";14
1752;"PR-16";"Process Payroll";"To provide policies and procedures relative to payroll matters including employee classifications, pay periods, voluntary and court mandated deductions (garnishments, child support, etc.) Record keeping and privacy.";0;0;183;1;0;0;0;0;0;1752;3312;0;"2014-01-28 15:05:19.272";0;0;"";0;0;"";0;"PR";16
1765;"PR-17";"Verify Payroll is Accurate";"To provide policies and procedures relative to payroll matters including employee classifications, pay periods, voluntary and court mandated deductions (garnishments, child support, etc.) Record keeping and privacy.";0;0;183;1;0;0;0;0;0;1765;3312;0;"2014-01-28 15:56:21.998";0;0;"";0;0;"";0;"PR";17
1773;"PR-18";"Payroll Records";"To provide policies and procedures relative to payroll mattes including employee classifications, pay periods, voluntary and court mandated deductions (garnishments, child support, etc.) Record keeping privacy";0;0;183;1;0;0;0;0;0;1773;3312;0;"2014-01-28 17:09:35.734";0;0;"";0;0;"";0;"PR";18
1777;"PR-19";"Process Employee Vacation Pay";"To provide policies and procedures relative to payroll matters including employee classifications, pay period, voluntary and court mandated deductions (garnishments, child support, etc.) Record keeping and privacy.";0;0;183;1;0;0;0;0;0;1777;3312;0;"2014-01-28 17:31:03.427";0;0;"";0;0;"";0;"PR";19
1781;"PR-20";"Board of Directors Meeting Process Review";"Within one month of Board of Directors' Meeting, the CFO shall preside over a review meeting to verify Meeting notices were sent as scheduled, Meeting arrangements were adequate and aided in smooth execution of the meeting. Meeting minutes are properly kept and recorded, and the meeting and all related actions/decisions comply with Company bylaws.";0;0;183;1;0;0;0;0;0;1781;3312;0;"2014-01-28 17:43:36.141";0;0;"";0;0;"";0;"PR";20
1786;"PR-21";"Board of Directors' Meeting Process Improvements";"Within one month of the Board of Directors' Meeting, the CFO shall preside over a review meeting to verify Meeting notices were sent as scheduled, Meeting arrangements were adequate and aided in smooth execution of the meeting. Meeting minutes are properly kept and recorded, and the meeting and all related actions/decisions comply with Company bylaws.";0;0;183;1;0;0;0;0;0;1786;3312;0;"2014-01-28 17:49:52.605";0;0;"";0;0;"";0;"PR";21
1789;"PR-20";"Stockholders Meeting Notification";"To keep stockholders informed of business operations, include them in votes on important company actions, and comply with regulatory requirements for ""C corporation"" shareholder meetings.";0;0;183;1;0;0;0;0;0;1789;3312;0;"2014-01-28 17:55:13.453";0;0;"";0;0;"";0;"PR";20
1792;"PR-21";"Stockholder Meeting Review";"To keep stockholders informed of business operations, include them in votes on important company actions, and comply with regulatory requirements for ""C corporation"" shareholder meetings.";0;0;183;1;0;0;0;0;0;1792;3312;0;"2014-01-28 18:03:56.931";0;0;"";0;0;"";0;"PR";21
1798;"PR-21";"Process Final Paychecks";"To provide policies and procedures relative to payroll matters including employee classifications, pay periods, voluntary and court mandated deductions (garnishments, child support, etc.) Record keeping and privacy";0;0;183;1;0;0;0;0;0;1798;3312;0;"2014-01-28 18:10:39.18";0;0;"";0;0;"";0;"PR";21
1800;"PR-20";"Stockholder Meeting Improvements";"To keep stockholders informed of business operations, include them in votes on important company actions, and comply with regulatory requirements for ""C corporation"" shareholder meetings.";0;0;183;1;0;0;0;0;0;1800;3312;0;"2014-01-28 18:15:01.104";0;0;"";0;0;"";0;"PR";20
1802;"PR-23";"Clear Open Points";"The purpose of clearing open points on the set date or at least every 2 weeks is to ensure that the open points get complete.";0;0;183;1;0;0;0;0;0;1802;3312;0;"2014-01-29 10:50:02.424";0;0;"";0;0;"";0;"PR";23
1807;"PR-24";"Complete Annual Training";"Every employee must complete annual training so that they can become familiar with their positions' and the companys' business model material including job descriptions, policies, procedures, etc.";0;0;183;1;0;0;0;0;0;1807;3312;0;"2014-01-29 10:54:57.216";0;0;"";0;0;"";0;"PR";24
1816;"PR-25";"Accounts Payable and Cash Disbursements";"To explain the practices for documenting, recording and issuing payments for accounts payable transactions.";0;0;183;1;0;0;0;0;0;1816;3312;0;"2014-01-29 17:01:09.992";0;0;"";0;0;"";0;"PR";25
1835;"PR-25";"Process Inbox";"The purpose of processing the inbox as needed is to ensure that everything in your inbox is collected and processed in a timely manner. ";0;0;183;1;0;0;0;0;0;1835;3312;0;"2014-01-30 08:37:16.874";0;0;"";0;0;"";0;"PR";25
1846;"PR-27";"Complete Timesheets";"The purpose of submitting the timesheets biweekly is to ensure that payroll gets processed every 2 weeks.";0;0;183;1;0;0;0;0;0;1846;3312;0;"2014-01-30 08:43:49.691";0;0;"";0;0;"";0;"PR";27
