"ubm_h_st_id";"st_ref";"st_title";"st_instruction";"st_tp_id";"stat_id";"ubm_id";"derived_from_id";"ubm_vers_id";"ubm_obj_vers_id";"obj_vers_id";"s_id";"s_db_id";"s_usr_id";"s_ts";"m_db_id";"m_usr_id";"m_ts";"t_db_id";"t_usr_id";"t_ts";"ubm_ref";"ubm_order_no"
2233;"ST-481";"Put actionable items on the Top 10 List or Task List";"Put actionable items on the Top 10 List or Task List";183;1;0;0;0;0;0;2233;3312;0;"2014-02-01 16:19:51.842";3312;0;"2014-02-17 19:49:44.785";0;0;"";"";481
1585;"ST-19";"In order to properly conduct business, a minimum number of directors must be present at the meeting ";"In order to properly conduct business, a minimum number of directors must be present at the meeting to form a quorum as prescribed per the bylaws.";183;1;0;0;0;0;0;1585;3312;0;"2014-01-25 16:11:21.483";3312;0;"2014-02-12 11:46:11.214";0;0;"";"";19
1598;"ST-20";"The meeting shall include forming and scheduling key committees";"The meeting shall include forming and scheduling key committees such as Audit Committee, Finance Committee, Executive Compensation Committee, Nominating Committee, and Governance Committee.";183;1;0;0;0;0;0;1598;3312;0;"2014-01-25 02:00:00";3312;0;"2014-02-12 11:46:11.214";0;0;"";"";20
1599;"ST-21";"The Board's responsibilities include: Setting financial and operating policies of the Company.";"The Board's responsibilities include: Setting financial and operating policies of the Company.";183;1;0;0;0;0;0;1599;3312;0;"2014-01-25 16:55:42.754";3312;0;"2014-02-12 11:46:11.214";0;0;"";"";21
1594;"ST-23";"The chair shall use a consent agenda to pass non-controversial items.";"The chair shall use a consent agenda to pass non-controversial items.";183;1;0;0;0;0;0;1594;3312;0;"2014-01-25 16:44:26.774";3312;0;"2014-02-12 11:46:11.214";0;0;"";"";23
1947;"ST-269";"Create the Yearend Inventory Packet";"Create the Yearend Inventory Packet";183;1;0;0;0;0;0;1947;3312;0;"2014-01-30 15:55:17.356";3312;0;"2014-02-17 19:49:44.775";0;0;"";"";269
1878;"ST-211";"The Credit Department reviews all records for a customer to determine a possible explanation for non-payment prior to commencing";"The Credit Department reviews all records for a customer to determine a possible explanation for non-payment prior to commencing the collection process.";183;1;0;0;0;0;0;1878;3312;0;"2014-01-30 11:54:35.38";3312;0;"2014-02-17 19:49:44.772";0;0;"";"";211
1952;"ST-273";"The CFO shall monitor and review cash accounts inventory";"The CFO shall monitor and review cash accounts inventory";183;1;0;0;0;0;0;1952;3312;0;"2014-01-30 16:04:48.135";3312;0;"2014-02-17 19:49:44.775";0;0;"";"";273
1879;"ST-212";"Once an account becomes past due by even a few days, the collection process should commence immediately.  Studies have shown tha";"Once an account becomes past due by even a few days, the collection process should commence immediately.  Studies have shown that the sooner the collection process starts then the more likely that the debt will be collected.";183;1;0;0;0;0;0;1879;3312;0;"2014-01-30 11:54:51.943";3312;0;"2014-02-17 19:49:44.772";0;0;"";"";212
1943;"ST-265";"Validate Interest expense.";"Validate Interest expense.";183;1;0;0;0;0;0;1943;3312;0;"2014-01-30 15:53:51.119";3312;0;"2014-02-17 19:49:44.775";0;0;"";"";265
